Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	FBbt:00002055	IAO:0000115	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.	
ERROR	duplicate_definition	FBbt:00002056	IAO:0000115	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.	
ERROR	duplicate_definition	FBbt:00002057	IAO:0000115	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.	
ERROR	duplicate_definition	FBbt:00002058	IAO:0000115	One of four dendritic arborizing neurons found in each larval thoracic/abdominal ventral sensory cluster. Its axon fasciculates with the segmental nerve.	
ERROR	duplicate_definition	FBbt:00047679	IAO:0000115	Neuron that may be involved in escape behavior of the larva.	
ERROR	duplicate_definition	FBbt:00047680	IAO:0000115	Neuron that may be involved in escape behavior of the larva.	
ERROR	duplicate_definition	FBbt:00047677	IAO:0000115	Neuron of the subesophageal ganglion that may be involved in larval avoidance behavior.	
ERROR	duplicate_definition	FBbt:00047678	IAO:0000115	Neuron of the subesophageal ganglion that may be involved in larval avoidance behavior.	
ERROR	duplicate_definition	FBbt:00047672	IAO:0000115	Neuron of the larval subesophageal ganglion that is involved in turning motion of the larva.	
ERROR	duplicate_definition	FBbt:00047673	IAO:0000115	Neuron of the larval subesophageal ganglion that is involved in turning motion of the larva.	
ERROR	duplicate_definition	FBbt:00001964	IAO:0000115	Nerve that is part of the supraesophageal ganglion.	
ERROR	duplicate_definition	FBbt:00001976	IAO:0000115	Nerve that is part of the supraesophageal ganglion.	
ERROR	duplicate_definition	FBbt:00111713	IAO:0000115	Multiglomerular neuron of the larval antennal lobe whose soma is located lateral to the antennal lobe. It arborizes in the antennal lobe, takes the mALT tract and projects to the region surrounding the mushroom body calyx and to the lateral horn. It receives input from a subset of olfactory receptor neurons (ORNs), a few uniglomerular olfactory projection neurons (uPNs), broad, keystone, picky, choosy, a few mPN neurons and other non-olfactory sensory neurons in the subesophageal zone.	
ERROR	duplicate_definition	FBbt:00111714	IAO:0000115	Multiglomerular neuron of the larval antennal lobe whose soma is located lateral to the antennal lobe. It arborizes in the antennal lobe, takes the mALT tract and projects to the region surrounding the mushroom body calyx and to the lateral horn. It receives input from a subset of olfactory receptor neurons (ORNs), a few uniglomerular olfactory projection neurons (uPNs), broad, keystone, picky, choosy, a few mPN neurons and other non-olfactory sensory neurons in the subesophageal zone.	
ERROR	duplicate_definition	FBbt:00002033	IAO:0000115	Multidendritic neuron located in the lateral complex of the second and third thoracic segments of the larva.	
ERROR	duplicate_definition	FBbt:00002034	IAO:0000115	Multidendritic neuron located in the lateral complex of the second and third thoracic segments of the larva.	
ERROR	duplicate_definition	FBbt:00110261	IAO:0000115	Motor neuron that innervates the external lateral transverse muscle 1.	
ERROR	duplicate_definition	FBbt:00110273	IAO:0000115	Motor neuron that innervates the external lateral transverse muscle 1.	
ERROR	duplicate_definition	FBbt:00002710	IAO:0000115	Mono-dendritic sensillum of the ventral organ.	
ERROR	duplicate_definition	FBbt:00002712	IAO:0000115	Mono-dendritic sensillum of the ventral organ.	
ERROR	duplicate_definition	FBbt:00002713	IAO:0000115	Mono-dendritic sensillum of the ventral organ.	
ERROR	duplicate_definition	FBbt:00003842	IAO:0000115	Medullary tangential neuron that arborizes in the medulla.	
ERROR	duplicate_definition	FBbt:00003844	IAO:0000115	Medullary tangential neuron that arborizes in the medulla.	
ERROR	duplicate_definition	FBbt:00001897	IAO:0000115	Malpighian tubule lying in a posterior orientation (Wessing and Eichelberg, 1978).	
ERROR	duplicate_definition	FBbt:00005726	IAO:0000115	Malpighian tubule lying in a posterior orientation (Wessing and Eichelberg, 1978).	
ERROR	duplicate_definition	FBbt:00004406	IAO:0000115	Longitudinal bracted bristle row of the adult tarsi of the mesothoracic leg. It is posterior to row 1, in a ventral position.	
ERROR	duplicate_definition	FBbt:00004460	IAO:0000115	Longitudinal bracted bristle row of the adult tarsi of the mesothoracic leg. It is posterior to row 1, in a ventral position.	
ERROR	duplicate_definition	FBbt:00003861	IAO:0000115	Lobula tangential neuron that arborizes in the lobula.	
ERROR	duplicate_definition	FBbt:00003867	IAO:0000115	Lobula tangential neuron that arborizes in the lobula.	
ERROR	duplicate_definition	FBbt:00002839	IAO:0000115	Lateral mono-innervated hair of larval abdominal segments 1-7.	
ERROR	duplicate_definition	FBbt:00002847	IAO:0000115	Lateral mono-innervated hair of larval abdominal segments 1-7.	
ERROR	duplicate_definition	FBbt:00047958	IAO:0000115	Larval neuron with postsynaptic terminals in the centroposterior lateral compartment (clamp), centroposterior medial compartment (posterior inferior protocerebrum) and basoposterior medial compartment (ventromedial cerebrum) and presynaptic terminals in the mushroom body pedunculus.	
ERROR	duplicate_definition	FBbt:00047959	IAO:0000115	Larval neuron with postsynaptic terminals in the centroposterior lateral compartment (clamp), centroposterior medial compartment (posterior inferior protocerebrum) and basoposterior medial compartment (ventromedial cerebrum) and presynaptic terminals in the mushroom body pedunculus.	
ERROR	duplicate_definition	FBbt:00047976	IAO:0000115	Larval neuron that has presynapses in the ipsilateral centroposterior medial compartment (posterior inferior protocerebrum) and postsynapses in the ipsilateral mushroom body lower vertical lobe (V1) (Saumweber et al., 2018).	
ERROR	duplicate_definition	FBbt:00047977	IAO:0000115	Larval neuron that has presynapses in the ipsilateral centroposterior medial compartment (posterior inferior protocerebrum) and postsynapses in the ipsilateral mushroom body lower vertical lobe (V1) (Saumweber et al., 2018).	
ERROR	duplicate_definition	FBbt:00047980	IAO:0000115	Larval neuron that has presynapses in the ipsilateral and contralateral centroposterior medial compartment (posterior inferior protocerebrum) and postsynapses in the lateral region (M2/shaft) of the mushroom body medial lobe (Saumweber et al., 2018).	
ERROR	duplicate_definition	FBbt:00047981	IAO:0000115	Larval neuron that has presynapses in the ipsilateral and contralateral centroposterior medial compartment (posterior inferior protocerebrum) and postsynapses in the lateral region (M2/shaft) of the mushroom body medial lobe (Saumweber et al., 2018).	
