FBbt_ID	cell_type	cell_number	soma_loc	hemilineage	N	iT1	lT1	L1	X	W	iT2	lT2	L2	H	iT3	L3	A	Ext	Seg	Specific lines	Other lines	other names in Drosophila	orthologous cells with visualized morphology	Calliphora erythrocephala, Manduca sexta, Bombyx mori
FBbt:00052967	WBL004	1	2adl	18B T2		m-				M-	M-	M-	MM						+	SS45830				
FBbt:00052968	WBL005	1	2adl	18B T2						-a	-A	Da	DA						+	SS42465, SS45843	SS45607, SS45830			
FBbt:00052969	WBL006	1	2adl	18B T2						AA	Aa	d-	D-						+	SS25482, SS31309	SS31263			
FBbt:00052970	WBL007	1	2adl	18B T2						aA	aa	Ma	MA						+	SS31309, SS45830	SS31263, SS45607			
FBbt:00052971	WBL008	1	2pvm	emb					-m	MM	-M	-d							+	SS46725				
FBbt:00052972	WBL009	3	2pvm	12A T2					d-	M-	Mm			m-					+	SS48272				
FBbt:00052973	WBL010	1	2pvm	12A T2						MM	MM	d-								SS48272, SS42465				
FBbt:00052974	WBL011	1	2pvm	12A T2						MM	MM	d-								SS48272, SS42465				
FBbt:00052975	WBL012	1	2avm	6B T2						MM	MM	mm	d-	dm						SS47200, SS49799	SS54445			
FBbt:00052976	WBL013	10	2adl	17A T2					M-	MM	m-		d-							SS40783	SS49766			
FBbt:00052977	WBL014	1	2adl	17A T2				d-	D-	MM	M-	d-								SS42498	SS42438, SS42439	dMS2 (12)		
FBbt:00052978	WBL015	1	2adl	17A T2						MM	PD									SS40783, SS46675		dMS2 (12)		
FBbt:00052979	WBL016	1	2adl	17A T2						MM	PD			a-						SS40783, SS42442	SS42438	dMS2 (12)		
FBbt:00052980	WBL017	1	2adl	17A T2						MM	MD									SS46675		dMS2 (12)		
FBbt:00052981	WBL018	1	2adl	17A T2					d-	PP	PD	d-		a-						SS46675	SS42438	dMS2 (12)		
FBbt:00052982	WBL019	1	2adl	17A T2					d-	MM	MD			a-						SS40783		dMS2 (12)		
FBbt:00052983	WBL020	1	2adl	17A T2						PM	PM									SS40783	SS42438	dMS2 (12)		
FBbt:00052984	WBL021	1	2avm	6B T2					-a	dM	-d			a-						SS42447				
FBbt:00052985	WBL022	4	1pvl	3B T1	D-				d-	Mm	d-									SS49779				
FBbt:00052986	WBL023	4	1pvl	3B T1					d-	MM	DD	dd								SS51830				
FBbt:00052987	WBL024	3	1pvl	3B T1	m-					Mm	d-								+		SS37306			
FBbt:00052988	WBL025	1	1pvl	3B T1	mm					MM									+	SS52389				
FBbt:00052989	WBL026	1	1pvl	3B T1	mm					Mm									+	SS52389				
FBbt:00052990	WBL027	1	1pvl	3B T1	mm					Mm									+	SS52389				
FBbt:00052991	WBL028	1	1pvl	3B T1	md					Mm									+	SS52389				
FBbt:00052992	WBL029	1	1pvl	3B T1	mm					MM									+	SS52389				
