FBbt_ID	parent_ID	cell_type	MF	MT	cell_number	hetero	ascending	Segments	response to MDN	Imaging line (Fig. 3)	2nd Imaging line (Supplementary Fig. 2)	MCFO line (Fig. 3)	SS lines (Fig. 4 and Supplementary Fig. 3)	Additional lines from imaging screen (data not shown)
FBbt:00051153	FBbt:00051112	LUI22		MT204	1			T2	s, s	VT007722-GAL4		VT007722-GAL4	SS57939, SS63843, SS46233, SS57954, SS51895, SS57955	54G08-GAL4, VT029814-GAL4, VT014974-GAL4
FBbt:00051154	FBbt:00051113	LBA22			1 or 2			T2	s, w, s	VT000254-GAL4		VT000254-GAL4	SS46300, SS44225, SS46225, SS59209, SS48718	59A01-LexA, 71B05-GAL4, 94E11-GAL4, 24A02-LexA, 75B10-LexA, VT027804-GAL4, 36B06-GAL4
FBbt:00051155	FBbt:00051117	LBA68			1			T2	0, 0, s	VT056808-GAL4		VT056808-GAL4	SS64179, SS64214, SS64167	24B11-GAL4, 24A02-LexA, VT060202-LexA, 78A04-GAL4
FBbt:00051156	FBbt:00051121	LUM9			~5			T2	w, w, s	SS50996		SS50996 (31H05-AD; VT011123-DBD)	SS53050, SS50996	VT065132-LexA, 31H05-LexA, 81A04-LexA, 81A06-LexA, 30B02-LexA, 73F02-GAL4, VT034804-LexA, VT024634-GAL4, 29E02-LexA 
FBbt:00051157	FBbt:00051090	LUL24		MT317	1			T3	0, 0, s	28F07-LexA		28F07-GAL4	SS46730, SS51891, SS48376, SS51877, SS58000, SS57977	VT040713-GAL4, 23G01-LexA, VT004987-LexA, VT062633-GAL4 
FBbt:00051158	FBbt:00051091	LUL55		MT316	~10			T3	0, 0, s	VT019902-GAL4		VT019902-GAL4	SS44255, SS44254, SS58006, SS36194	72D01-LexA
FBbt:00051159	FBbt:00051092	LUL89			2			T3	0, 0, i	VT046303-GAL4	VT026669-LexA	VT046303-GAL4	SS47847, SS32496, SS47863	VT030345-GAL4 
FBbt:00051160	FBbt:00051093	LBL34			1			T3	0, 0, w	VT008473-GAL4		VT008473-GAL4	SS59230, SS59229	75H07-LexA
FBbt:00051161	FBbt:00051096	LBL19			~10	1		T3	0, 0, i	VT043924-LexA	VT044964-LexA	VT043924-GAL4	SS33343, SS33542	55B08-GAL4, 67E07-GAL4
FBbt:00051162	FBbt:00051097	LUL130		MT323	2			T3	n, w, s	VT062245-GAL4		VT062245-GAL4	SS50974, SS50975, SS57941, SS51817	VT024602-GAL4, VT021374-GAL4
FBbt:00051163	FBbt:00051098	LUL173		MT320	1			T3	s, s, s	VT002075-GAL4		VT002075-GAL4	SS60234, SS60232	VT006555-LexA, VT007752-GAL4
FBbt:00051164	FBbt:00051099	LUL141			~5			T3	s, s, s	VT021842-LexA		VT021842-GAL4	SS64190	VT009674-GAL4
FBbt:00051165	FBbt:00051100	LBL9		MT319	~5			T3	w, w, w	VT038219-LexA		VT038219-GAL4	SS33510, SS50995	
FBbt:00051166	FBbt:00051101	LBL52		MT325	~5	1		T3	s, s, w	73B05-LexA		SS27416 (73B05-AD; 42H01-DBD)	SS27416, SS35560	VT058873-GAL4, 19H11-GAL4
FBbt:00051167	FBbt:00051102	LUL152			1			T3	w, w, i	VT002996-GAL4	70B03-LexA	VT002996-GAL4	SS58005, SS46258, SS58002, SS46229	VT008473-GAL4
FBbt:00051168	FBbt:00051103	LBL22			1			T3	i, x, i	VT019345-GAL4	VT048146-LexA	VT019345-GAL4	SS53903, SS53030, SS53029	
FBbt:00051169	FBbt:00051109	LBI65			~5	1		T3	0, 0, s	29G03-GAL4		29G03-GAL4	SS59225	74B06-LexA, VT031494-LexA 
FBbt:00051170	FBbt:00051113	LBA22			1 or 2			T3	s, w, s	VT000254-GAL4		VT000254-GAL4	SS46300, SS44225, SS46225, SS59209, SS48718	59A01-LexA, 71B05-GAL4, 94E11-GAL4, 24A02-LexA, 75B10-LexA, VT027804-GAL4, 36B06-GAL4
FBbt:00051171	FBbt:00051117	LBA68			1			T3	0, 0, s	VT056808-GAL4		VT056808-GAL4	SS64179, SS64214, SS64167	24B11-GAL4, 24A02-LexA, VT060202-LexA, 78A04-GAL4
FBbt:00051172	FBbt:00051121	LUM9			~5			T3	w, w, s	SS50996		SS50996 (31H05-AD; VT011123-DBD)	SS53050, SS50996	VT065132-LexA, 31H05-LexA, 81A04-LexA, 81A06-LexA, 30B02-LexA, 73F02-GAL4, VT034804-LexA, VT024634-GAL4, 29E02-LexA 
