np_type	FBbt_id	FBbt_name	ref	date	synonym	synonym_ref
ATL006	FBbt:20000070	adult antler neuron 006	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL007	FBbt:20000071	adult antler neuron 007	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL008	FBbt:20000072	adult antler neuron 008	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL009	FBbt:20000073	adult antler neuron 009	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL010	FBbt:20000074	adult antler neuron 010	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL011	FBbt:20000075	adult antler neuron 011	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL012	FBbt:20000076	adult antler neuron 012	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL013	FBbt:20000077	adult antler neuron 013	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL014	FBbt:20000078	adult antler neuron 014	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL015	FBbt:20000079	adult antler neuron 015	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL016	FBbt:20000080	adult antler neuron 016	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL017	FBbt:20000081	adult antler neuron 017	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL018	FBbt:20000082	adult antler neuron 018	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL019	FBbt:20000083	adult antler neuron 019	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL020	FBbt:20000084	adult antler neuron 020	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL021	FBbt:20000085	adult antler neuron 021	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL022	FBbt:20000086	adult antler neuron 022	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL023	FBbt:20000087	adult antler neuron 023	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL024	FBbt:20000088	adult antler neuron 024	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL025	FBbt:20000089	adult antler neuron 025	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL026	FBbt:20000090	adult antler neuron 026	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL027	FBbt:20000091	adult antler neuron 027	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL028	FBbt:20000092	adult antler neuron 028	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL029	FBbt:20000093	adult antler neuron 029	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL030	FBbt:20000094	adult antler neuron 030	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL031	FBbt:20000095	adult antler neuron 031	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL032	FBbt:20000096	adult antler neuron 032	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL033	FBbt:20000097	adult antler neuron 033	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL034	FBbt:20000098	adult antler neuron 034	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL035	FBbt:20000099	adult antler neuron 035	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL036	FBbt:20000100	adult antler neuron 036	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL037	FBbt:20000101	adult antler neuron 037	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL038	FBbt:20000102	adult antler neuron 038	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL039	FBbt:20000103	adult antler neuron 039	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL040	FBbt:20000104	adult antler neuron 040	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL041	FBbt:20000105	adult antler neuron 041	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL042	FBbt:20000106	adult antler neuron 042	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL043	FBbt:20000107	adult antler neuron 043	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL044	FBbt:20000108	adult antler neuron 044	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
ATL045	FBbt:20000109	adult antler neuron 045	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP001	FBbt:20000110	adult anterior ventrolateral protocerebrum neuron 001	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP002	FBbt:20000111	adult anterior ventrolateral protocerebrum neuron 002	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP003	FBbt:20000112	adult anterior ventrolateral protocerebrum neuron 003	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP004	FBbt:20000113	adult anterior ventrolateral protocerebrum neuron 004	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP005	FBbt:20000114	adult anterior ventrolateral protocerebrum neuron 005	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP006	FBbt:20000115	adult anterior ventrolateral protocerebrum neuron 006	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP007	FBbt:20000116	adult anterior ventrolateral protocerebrum neuron 007	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP008	FBbt:20000117	adult anterior ventrolateral protocerebrum neuron 008	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP009	FBbt:20000118	adult anterior ventrolateral protocerebrum neuron 009	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP010	FBbt:20000119	adult anterior ventrolateral protocerebrum neuron 010	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP011	FBbt:20000120	adult anterior ventrolateral protocerebrum neuron 011	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP012	FBbt:20000121	adult anterior ventrolateral protocerebrum neuron 012	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP013	FBbt:20000122	adult anterior ventrolateral protocerebrum neuron 013	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP014	FBbt:20000123	adult anterior ventrolateral protocerebrum neuron 014	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP015	FBbt:20000124	adult anterior ventrolateral protocerebrum neuron 015	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP016	FBbt:20000125	adult anterior ventrolateral protocerebrum neuron 016	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP017	FBbt:20000126	adult anterior ventrolateral protocerebrum neuron 017	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP018	FBbt:20000127	adult anterior ventrolateral protocerebrum neuron 018	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP019	FBbt:20000128	adult anterior ventrolateral protocerebrum neuron 019	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP020	FBbt:20000129	adult anterior ventrolateral protocerebrum neuron 020	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP021	FBbt:20000130	adult anterior ventrolateral protocerebrum neuron 021	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP022	FBbt:20000131	adult anterior ventrolateral protocerebrum neuron 022	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP023	FBbt:20000132	adult anterior ventrolateral protocerebrum neuron 023	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP024	FBbt:20000133	adult anterior ventrolateral protocerebrum neuron 024	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP025	FBbt:20000134	adult anterior ventrolateral protocerebrum neuron 025	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP026	FBbt:20000135	adult anterior ventrolateral protocerebrum neuron 026	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP027	FBbt:20000136	adult anterior ventrolateral protocerebrum neuron 027	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP028	FBbt:20000137	adult anterior ventrolateral protocerebrum neuron 028	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP029	FBbt:20000138	adult anterior ventrolateral protocerebrum neuron 029	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP030	FBbt:20000139	adult anterior ventrolateral protocerebrum neuron 030	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP031	FBbt:20000140	adult anterior ventrolateral protocerebrum neuron 031	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP032	FBbt:20000141	adult anterior ventrolateral protocerebrum neuron 032	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP033	FBbt:20000142	adult anterior ventrolateral protocerebrum neuron 033	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP034	FBbt:20000143	adult anterior ventrolateral protocerebrum neuron 034	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP035	FBbt:20000144	adult anterior ventrolateral protocerebrum neuron 035	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP036	FBbt:20000145	adult anterior ventrolateral protocerebrum neuron 036	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP037	FBbt:20000146	adult anterior ventrolateral protocerebrum neuron 037	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP038	FBbt:20000147	adult anterior ventrolateral protocerebrum neuron 038	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP039	FBbt:20000148	adult anterior ventrolateral protocerebrum neuron 039	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP040	FBbt:20000149	adult anterior ventrolateral protocerebrum neuron 040	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP041	FBbt:20000150	adult anterior ventrolateral protocerebrum neuron 041	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP042	FBbt:20000151	adult anterior ventrolateral protocerebrum neuron 042	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP043	FBbt:20000152	adult anterior ventrolateral protocerebrum neuron 043	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP044	FBbt:20000153	adult anterior ventrolateral protocerebrum neuron 044	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP045	FBbt:20000154	adult anterior ventrolateral protocerebrum neuron 045	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP046	FBbt:20000155	adult anterior ventrolateral protocerebrum neuron 046	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP047	FBbt:20000156	adult anterior ventrolateral protocerebrum neuron 047	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP048	FBbt:20000157	adult anterior ventrolateral protocerebrum neuron 048	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP049	FBbt:20000158	adult anterior ventrolateral protocerebrum neuron 049	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP050	FBbt:20000159	adult anterior ventrolateral protocerebrum neuron 050	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP051	FBbt:20000160	adult anterior ventrolateral protocerebrum neuron 051	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP052	FBbt:20000161	adult anterior ventrolateral protocerebrum neuron 052	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP053	FBbt:20000162	adult anterior ventrolateral protocerebrum neuron 053	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP054	FBbt:20000163	adult anterior ventrolateral protocerebrum neuron 054	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP055	FBbt:20000164	adult anterior ventrolateral protocerebrum neuron 055	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP056	FBbt:20000165	adult anterior ventrolateral protocerebrum neuron 056	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP057	FBbt:20000166	adult anterior ventrolateral protocerebrum neuron 057	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP058	FBbt:20000167	adult anterior ventrolateral protocerebrum neuron 058	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP059	FBbt:20000168	adult anterior ventrolateral protocerebrum neuron 059	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP060	FBbt:20000169	adult anterior ventrolateral protocerebrum neuron 060	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP061	FBbt:20000170	adult anterior ventrolateral protocerebrum neuron 061	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP062	FBbt:20000171	adult anterior ventrolateral protocerebrum neuron 062	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP063	FBbt:20000172	adult anterior ventrolateral protocerebrum neuron 063	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP064	FBbt:20000173	adult anterior ventrolateral protocerebrum neuron 064	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP065	FBbt:20000174	adult anterior ventrolateral protocerebrum neuron 065	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP066	FBbt:20000175	adult anterior ventrolateral protocerebrum neuron 066	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP067	FBbt:20000176	adult anterior ventrolateral protocerebrum neuron 067	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP068	FBbt:20000177	adult anterior ventrolateral protocerebrum neuron 068	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP069	FBbt:20000178	adult anterior ventrolateral protocerebrum neuron 069	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP070	FBbt:20000179	adult anterior ventrolateral protocerebrum neuron 070	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP071	FBbt:20000180	adult anterior ventrolateral protocerebrum neuron 071	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP072	FBbt:20000181	adult anterior ventrolateral protocerebrum neuron 072	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP073	FBbt:20000182	adult anterior ventrolateral protocerebrum neuron 073	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP074	FBbt:20000183	adult anterior ventrolateral protocerebrum neuron 074	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP075	FBbt:20000184	adult anterior ventrolateral protocerebrum neuron 075	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP076	FBbt:20000185	adult anterior ventrolateral protocerebrum neuron 076	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP077	FBbt:20000186	adult anterior ventrolateral protocerebrum neuron 077	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP078	FBbt:20000187	adult anterior ventrolateral protocerebrum neuron 078	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP079	FBbt:20000188	adult anterior ventrolateral protocerebrum neuron 079	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP080	FBbt:20000189	adult anterior ventrolateral protocerebrum neuron 080	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP081	FBbt:20000190	adult anterior ventrolateral protocerebrum neuron 081	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP082	FBbt:20000191	adult anterior ventrolateral protocerebrum neuron 082	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP083	FBbt:20000192	adult anterior ventrolateral protocerebrum neuron 083	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP084	FBbt:20000193	adult anterior ventrolateral protocerebrum neuron 084	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP085	FBbt:20000194	adult anterior ventrolateral protocerebrum neuron 085	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP086	FBbt:20000195	adult anterior ventrolateral protocerebrum neuron 086	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP087	FBbt:20000196	adult anterior ventrolateral protocerebrum neuron 087	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP088	FBbt:20000197	adult anterior ventrolateral protocerebrum neuron 088	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP089	FBbt:20000198	adult anterior ventrolateral protocerebrum neuron 089	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP090	FBbt:20000199	adult anterior ventrolateral protocerebrum neuron 090	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP091	FBbt:20000200	adult anterior ventrolateral protocerebrum neuron 091	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP092	FBbt:20000201	adult anterior ventrolateral protocerebrum neuron 092	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP093	FBbt:20000202	adult anterior ventrolateral protocerebrum neuron 093	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP094	FBbt:20000203	adult anterior ventrolateral protocerebrum neuron 094	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP095	FBbt:20000204	adult anterior ventrolateral protocerebrum neuron 095	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP096	FBbt:20000205	adult anterior ventrolateral protocerebrum neuron 096	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP097	FBbt:20000206	adult anterior ventrolateral protocerebrum neuron 097	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP098	FBbt:20000207	adult anterior ventrolateral protocerebrum neuron 098	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP099	FBbt:20000208	adult anterior ventrolateral protocerebrum neuron 099	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP100	FBbt:20000209	adult anterior ventrolateral protocerebrum neuron 100	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP101	FBbt:20000210	adult anterior ventrolateral protocerebrum neuron 101	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AVLP102	FBbt:20000211	adult anterior ventrolateral protocerebrum neuron 102	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
