ROI	FBbt_id	FBbt_name	notes
AL-VM1(R)	FBbt:00003956	antennal lobe glomerulus VM1	
AL-VM2(R)	FBbt:00003947	antennal lobe glomerulus VM2	
AL-VM3(R)	FBbt:00003948	antennal lobe glomerulus VM3	
AL-VM4(R)	FBbt:00003957	antennal lobe glomerulus VM4	
AL-VM5d(R)	FBbt:00007391	antennal lobe glomerulus VM5d	
AL-VM5v(R)	FBbt:00007365	antennal lobe glomerulus VM5v	
AL-VM7d(L)	FBbt:00110028	antennal lobe glomerulus VM7d	
AL-VM7d(R)	FBbt:00110028	antennal lobe glomerulus VM7d	
AL-VM7v(L)	FBbt:00007092	antennal lobe glomerulus VM7v	
AL-VM7v(R)	FBbt:00007092	antennal lobe glomerulus VM7v	
AL-VP1d(R)	FBbt:00049639	antennal lobe glomerulus VP1d	
AL-VP1l(R)	FBbt:00049640	antennal lobe glomerulus VP1l	
AL-VP1m(R)	FBbt:00049641	antennal lobe glomerulus VP1m	
AL-VP2(R)	FBbt:00003928	antennal lobe glomerulus VP2	
AL-VP3(R)	FBbt:00003929	antennal lobe glomerulus VP3	
AL-VP4(R)	FBbt:00110865	antennal lobe glomerulus VP4	
AL-VP5(R)	FBbt:00047223	antennal lobe glomerulus VP5	
aL(L)	FBbt:00110657	adult mushroom body alpha-lobe	
AL(L)	FBbt:00007401	adult antennal lobe	
aL(R)	FBbt:00110657	adult mushroom body alpha-lobe	
AL(R)	FBbt:00007401	adult antennal lobe	
AME(R)	FBbt:00045003	accessory medulla	
AMMC	FBbt:00003982	antennal mechanosensory and motor center	
AOT(R)	FBbt:00100337	adult anterior optic tract	
AOTU(R)	FBbt:00007059	anterior optic tubercle	
ATL(L)	FBbt:00045039	antler	
ATL(R)	FBbt:00045039	antler	
AVLP(R)	FBbt:00040043	anterior ventrolateral protocerebrum	
b'1(R)	FBbt:00100278	mushroom body beta' lobe slice 1	
b'2(R)	FBbt:00100279	mushroom body beta' lobe slice 2	
b'L(L)	FBbt:00013694	adult mushroom body beta'-lobe	
b'L(R)	FBbt:00013694	adult mushroom body beta'-lobe	
b1(R)	FBbt:00100280	mushroom body beta lobe slice 1	
b2(R)	FBbt:00100281	mushroom body beta lobe slice 2	
bL(L)	FBbt:00110658	adult mushroom body beta-lobe	
bL(R)	FBbt:00110658	adult mushroom body beta-lobe	
BU(L)	FBbt:00003682	bulb	
