defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_types	other_types_label
FBbt:00050135	adult VLPa2 lineage neuron	FBbt:00005106	neuron	FBbt:00100543	neuroblast DALv1	FBbt:00003004	adult			FBbt:00050134	adult VLPa2 lineage clone		
FBbt:00050138	adult DALv2 lineage neuron	FBbt:00005106	neuron	FBbt:00050136	neuroblast DALv2	FBbt:00003004	adult			FBbt:00050137	adult DALv2 lineage clone		
FBbt:00050141	adult DPLp1 lineage neuron	FBbt:00005106	neuron	FBbt:00100603	neuroblast DPLp1	FBbt:00003004	adult			FBbt:00050140	adult DPLp1 lineage clone		
FBbt:00050144	adult DM6 lineage neuron	FBbt:00005106	neuron	FBbt:00050142	neuroblast DM6	FBbt:00003004	adult			FBbt:00050143	adult DM6 lineage clone		
FBbt:00050147	adult BLVp1 lineage neuron	FBbt:00005106	neuron	FBbt:00100633	neuroblast BLVp1	FBbt:00003004	adult			FBbt:00050146	adult BLVp1 lineage clone		
FBbt:00050150	adult CREa1 (female) lineage neuron	FBbt:00005106	neuron	FBbt:00050148	neuroblast CREa1 (female)	FBbt:00003004	adult			FBbt:00050149	adult CREa1 (female) lineage clone		
FBbt:00050153	adult BLAd3 lineage neuron	FBbt:00005106	neuron	FBbt:00100616	neuroblast BLAd3	FBbt:00003004	adult			FBbt:00050152	adult BLAd3 lineage clone		
FBbt:00050156	adult SLPal4 lineage neuron	FBbt:00005106	neuron	FBbt:00050154	neuroblast SLPal4	FBbt:00003004	adult			FBbt:00050155	adult SLPal4 lineage clone		
FBbt:00050159	adult VLPa1 lineage neuron	FBbt:00005106	neuron	FBbt:00049159	neuroblast DALl2	FBbt:00003004	adult			FBbt:00050158	adult VLPa1 lineage clone		
FBbt:00050162	adult VPNp&v1 lineage neuron	FBbt:00005106	neuron	FBbt:00100625	neuroblast BLP1	FBbt:00003004	adult			FBbt:00050161	adult VPNp&v1 lineage clone		
FBbt:00050165	adult PSp2 lineage neuron	FBbt:00005106	neuron	FBbt:00100571	neuroblast CM5	FBbt:00003004	adult			FBbt:00050164	adult PSp2 lineage clone		
FBbt:00050168	adult LALv1 lineage neuron	FBbt:00005106	neuron	FBbt:00050166	neuroblast LALv1	FBbt:00003004	adult			FBbt:00050167	adult LALv1 lineage clone		
FBbt:00050171	adult PBp1 lineage neuron	FBbt:00005106	neuron	FBbt:00050169	neuroblast PBp1	FBbt:00003004	adult			FBbt:00050170	adult PBp1 lineage clone		
FBbt:00050174	adult SMPad3 lineage neuron	FBbt:00005106	neuron	FBbt:00100540	neuroblast DAMd1	FBbt:00003004	adult			FBbt:00050173	adult SMPad3 lineage clone		
FBbt:00050177	adult SLPal5 lineage neuron	FBbt:00005106	neuron	FBbt:00050175	neuroblast SLPal5	FBbt:00003004	adult			FBbt:00050176	adult SLPal5 lineage clone		
FBbt:00050180	adult BAmas2 (female) lineage neuron	FBbt:00005106	neuron	FBbt:00050178	neuroblast BAmas2 (female)	FBbt:00003004	adult			FBbt:00050179	adult BAmas2 (female) lineage clone		
FBbt:00050183	adult DALl1 lineage neuron	FBbt:00005106	neuron	FBbt:00100547	neuroblast DALl1	FBbt:00003004	adult			FBbt:00050182	adult DALl1 lineage clone		
FBbt:00050186	adult CP2 lineage neuron	FBbt:00005106	neuron	FBbt:00100609	neuroblast CP2	FBbt:00003004	adult			FBbt:00050185	adult CP2 lineage clone		
FBbt:00050189	adult BAmas1 lineage neuron	FBbt:00005106	neuron	FBbt:00100555	neuroblast BAmas1	FBbt:00003004	adult			FBbt:00050188	adult BAmas1 lineage clone		
