defined_class	defined_class_label	precursor_type	precursor_type_label	develops_into_entity	develops_into_entity_label	develops_from_entity	develops_from_entity_label
FBbt:00110785	presumptive metathoracic coxal trichoid sensillum St4	FBbt:00005426	anlage	FBbt:00004424	metathoracic coxal trichoid sensillum St4		
FBbt:00110786	presumptive proximal joint of metathoracic coxa	FBbt:00005426	anlage	FBbt:00007664	proximal joint of metathoracic coxa		
FBbt:00110787	presumptive metathoracic coxa-trochanter joint	FBbt:00005426	anlage	FBbt:00007668	metathoracic coxa-trochanter joint		
FBbt:00110788	presumptive metathoracic trochanter	FBbt:00005426	anlage	FBbt:00004710	metathoracic trochanter		
FBbt:00110789	presumptive metathoracic trochanter campaniform sensillum Sc-8	FBbt:00005426	anlage	FBbt:00004428	metathoracic trochanter campaniform sensillum Sc-8		
FBbt:00110790	presumptive metathoracic trochanter campaniform sensillum Sc+5	FBbt:00005426	anlage	FBbt:00004430	metathoracic trochanter campaniform sensillum Sc+5		
FBbt:00110791	presumptive metathoracic trochanter trichoid sensillum St1	FBbt:00005426	anlage	FBbt:00004433	metathoracic trochanter trichoid sensillum St1		
FBbt:00110792	presumptive metathoracic trochanter trichoid sensillum 2GSt	FBbt:00005426	anlage	FBbt:00004435	metathoracic trochanter trichoid sensillum 2GSt		
FBbt:00110793	presumptive metathoracic trochanter campaniform sensillum Sc3	FBbt:00005426	anlage	FBbt:00004429	metathoracic trochanter campaniform sensillum Sc3		
FBbt:00110794	presumptive metathoracic trochanter trichoid sensillum St5	FBbt:00005426	anlage	FBbt:00004434	metathoracic trochanter trichoid sensillum St5		
FBbt:00110795	presumptive metathoracic femur	FBbt:00005426	anlage	FBbt:00004711	metathoracic femur		
FBbt:00110796	presumptive metathoracic femoral campaniform sensillum Sc11	FBbt:00005426	anlage	FBbt:00004444	metathoracic femoral campaniform sensillum Sc11		
FBbt:00110797	presumptive metathoracic femoral campaniform sensillum Sc1	FBbt:00005426	anlage	FBbt:00004443	metathoracic femoral campaniform sensillum Sc1		
FBbt:00110799	presumptive metathoracic femoral yellow bristles	FBbt:00005426	anlage	FBbt:00110798	metathoracic femoral yellow bristle		
FBbt:00110800	presumptive metathoracic tibia	FBbt:00005426	anlage	FBbt:00004709	metathoracic tibia		
FBbt:00110801	presumptive metathoracic tibial preapical bristle	FBbt:00005426	anlage	FBbt:00004448	metathoracic tibial preapical bristle		
FBbt:00110802	presumptive metathoracic tibial transverse bristle row	FBbt:00005426	anlage	FBbt:00004446	metathoracic tibial transverse bristle row		
FBbt:00110803	presumptive metathoracic metatarsus	FBbt:00005426	anlage	FBbt:00004714	metathoracic metatarsus		
FBbt:00110804	presumptive metathoracic tarsal bristle transverse row	FBbt:00005426	anlage	FBbt:00004451	metathoracic tarsal bristle transverse row		
