defined_class	defined_class_label	neuroblast	neuroblast_label	cluster	cluster_label	sex	sex_label	neuron	neuron_label	fruitless	soma_location	soma_location_label
FBbt:00110429	adult fruitless aDT-h neuron	FBbt:00100556	neuroblast BAmas2	FBbt:00110428	adult fruitless aDT-h lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151|FBbt:00049781	adult anterior brain cell body rind|cell body rind of adult subesophageal zone
FBbt:00110431	adult fruitless aIP-a neuron	FBbt:00050133	neuroblast VLPa2	FBbt:00110430	adult fruitless aIP-a lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110433	adult fruitless aIP-b (female) neuron	FBbt:00050157	neuroblast VLPa1	FBbt:00110432	adult fruitless aIP-b (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110435	adult fruitless aIP-c (female) neuron	FBbt:00100612	neuroblast BLAv1	FBbt:00110434	adult fruitless aIP-c (female) lineage clone	FBbt:00007011	female organism	FBbt:00052691		http://flybase.org/reports/FBgn0004652	FBbt:00100209	cell body rind of adult anterior ventrolateral protocerebrum
FBbt:00110437	adult fruitless aIP-d (female) neuron			FBbt:00110436	adult fruitless aIP-d (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00110439	adult fruitless aIP-e (female) neuron	FBbt:00100613	neuroblast BLAv2	FBbt:00110438	adult fruitless aIP-e (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051012	cell body rind of adult lateral lateral horn
FBbt:00110441	adult fruitless aIP-f neuron	FBbt:00050012	neuroblast VPNl&d1	FBbt:00110440	adult fruitless aIP-f lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110443	adult fruitless aIP-g (female) neuron	FBbt:00049157	neuroblast BLVp2	FBbt:00110442	adult fruitless aIP-g (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00110445	adult fruitless aIP-h neuron	FBbt:00100565	neuroblast BAlp3	FBbt:00110444	adult fruitless aIP-h lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110447	adult fruitless aSG-a neuron			FBbt:00110446	adult fruitless aSG-a lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00110449	adult fruitless aSP-a (female) neuron	FBbt:00050041	neuroblast SMPad1 (female)	FBbt:00110448	adult fruitless aSP-a (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00003700	adult pars intercerebralis
FBbt:00110451	adult fruitless aSP-b (female) neuron	FBbt:00050201	neuroblast SMPad2	FBbt:00110450	adult fruitless aSP-b (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00003700	adult pars intercerebralis
FBbt:00110453	adult fruitless aSP-c neuron	FBbt:00110411	neuroblast SMPad4	FBbt:00110452	adult fruitless aSP-c lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110455	adult fruitless aSP-d neuron	FBbt:00100548	neuroblast DALcm1	FBbt:00110454	adult fruitless aSP-d lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110457	adult fruitless aSP-e neuron			FBbt:00110456	adult fruitless aSP-e lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100308	adult superior brain cell body rind
FBbt:00110463	adult fruitless aSP-h (female) neuron	FBbt:00100592	neuroblast DPLal2	FBbt:00110462	adult fruitless aSP-h (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151|FBbt:00052048	adult anterior brain cell body rind|cell body rind of adult protocerebrum
FBbt:00110465	adult fruitless aSP-i (female) neuron	FBbt:00100545	neuroblast DALcl1	FBbt:00110464	adult fruitless aSP-i (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051006	cell body rind of adult ventral anterior optic tubercle
FBbt:00110467	adult fruitless aSP-j neuron	FBbt:00100546	neuroblast DALcl2	FBbt:00110466	adult fruitless aSP-j lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110469	adult fruitless aSP-k (female) neuron			FBbt:00110468	adult fruitless aSP-k (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051012	cell body rind of adult lateral lateral horn
FBbt:00110471	adult fruitless aSP-l neuron	FBbt:00050237	neuroblast SLPav2	FBbt:00110470	adult fruitless aSP-l lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00007647	cell body rind of adult lateral horn
FBbt:00110473	adult fruitless aSP-m neuron	FBbt:00050003	neuroblast SLPa&l1	FBbt:00110472	adult fruitless aSP-m lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110475	adult fruitless Lo neuron	FBbt:00052344	optic neuroblast	FBbt:00110474	adult fruitless Lo lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051036	cell body rind of adult posterior lobula plate
FBbt:00110477	adult fruitless M neuron	FBbt:00052344	optic neuroblast	FBbt:00110476	adult fruitless M lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051043	cell body rind of adult ventral medulla
