defined_class	class_label	muscle
FBbt:00058120	mesothoracic anterior tarsal reductor muscle cell	FBbt:00059112
FBbt:00058103	mesothoracic trochanter reductor muscle cell	FBbt:00059098
FBbt:00003416	muscle cell of mesothoracic femoral reductor muscle 69	FBbt:00058936
FBbt:00003408	mesothoracic tibial reductor muscle cell	FBbt:00058929
FBbt:00003411	mesothoracic levator muscle cell	FBbt:00058931
FBbt:00003414	muscle cell of mesothoracic tarsal levator muscle 73	FBbt:00058934
FBbt:00003413	muscle cell of mesothoracic tibial levator muscle 70	FBbt:00058933
FBbt:00003412	muscle cell of mesothoracic intracoxal levator muscle 68	FBbt:00058932
FBbt:00003403	mesothoracic depressor muscle cell	FBbt:00058924
FBbt:00058128	mesothoracic pretarsal depressor muscle cell	FBbt:00059120
FBbt:00058134	mesothoracic proximal pretarsal depressor muscle cell	FBbt:00059126
FBbt:00058131	mesothoracic distal pretarsal depressor muscle cell	FBbt:00059123
FBbt:00058107	mesothoracic femoral depressor muscle cell	FBbt:00059102
FBbt:00003409	muscle cell of mesothoracic tarsal depressor muscle 74	FBbt:00058930
FBbt:00003406	mesothoracic tibial depressor muscle cell	FBbt:00058927
FBbt:00003407	muscle cell of mesothoracic tibial depressor muscle 71	FBbt:00058928
FBbt:00003405	muscle cell of mesothoracic intracoxal depressor muscle 67	FBbt:00058926
FBbt:00003404	muscle cell of mesothoracic extracoxal depressor muscle 66	FBbt:00058925
FBbt:00003400	muscle cell of mesothoracic sternal promotor muscle 64	FBbt:00058921
FBbt:00003397	muscle cell of mesothoracic ventral longitudinal muscle 62	FBbt:00058918
FBbt:00003396	muscle cell of mesothoracic lateral intrasegmental muscle 61	FBbt:00058917
FBbt:00003360	flight muscle cell	FBbt:00058881
FBbt:00003379	direct flight muscle cell	FBbt:00058900
FBbt:00003392	muscle cell of subalar muscle 57	FBbt:00058913
FBbt:00003387	axillary muscle cell	FBbt:00058908
FBbt:00047245	muscle cell of external muscle of fourth axillary hg4	FBbt:00059071
FBbt:00047244	muscle cell of external muscle of fourth axillary hg1	FBbt:00059070
FBbt:00003391	muscle cell of muscle of first axillary 56	FBbt:00058912
FBbt:00003390	muscle cell of muscle of third axillary 55	FBbt:00058911
FBbt:00048108	muscle cell of muscle of the third axillary III4	FBbt:00059075
FBbt:00048107	muscle cell of muscle of the third axillary III3	FBbt:00059074
FBbt:00003389	muscle cell of muscle of third axillary 54	FBbt:00058910
FBbt:00003388	muscle cell of muscle of first axillary 53	FBbt:00058909
FBbt:00003383	muscle cell of internal muscle of fourth axillary 58b	FBbt:00058904
FBbt:00003382	muscle cell of internal muscle of fourth axillary 58a	FBbt:00058903
FBbt:00003386	tergopleural muscle cell	FBbt:00058907
FBbt:00048105	muscle cell of tergopleural muscle 1	FBbt:00059072
FBbt:00048106	muscle cell of tergopleural muscle 2	FBbt:00059073
FBbt:00003384	basalar muscle cell	FBbt:00058905
FBbt:00003385	muscle cell of basalar muscle 51	FBbt:00058906
FBbt:00003381	muscle cell of basalar muscle 50	FBbt:00058902
FBbt:00003380	muscle cell of basalar muscle 49	FBbt:00058901
FBbt:00003361	indirect flight muscle cell	FBbt:00058882
FBbt:00047243	dorsal ventral indirect flight muscle cell	FBbt:00059069
FBbt:00003372	tergosternal muscle cell	FBbt:00058893
FBbt:00003375	muscle cell of tergosternal muscle 47c	FBbt:00058896
FBbt:00003374	muscle cell of tergosternal muscle 47b	FBbt:00058895
FBbt:00003373	muscle cell of tergosternal muscle 47a	FBbt:00058894
FBbt:00003369	lateral oblique dorsal muscle cell	FBbt:00058890
FBbt:00003371	muscle cell of lateral oblique dorsal muscle 46b	FBbt:00058892
