defined_class	defined_class_label	parent	parent_label	stage	stage_label	partonomy	partonomy_label	def_xrefs
FBbt:00006017	embryonic/larval peritracheal cell	FBbt:00006016	peritracheal cell	FBbt:00001727	larva	FBbt:00000185	larval tracheal system	
FBbt:00006028	larval Eh neurosecretory neuron	FBbt:00048095	eclosion hormone neuron	FBbt:00001727	larva	FBbt:00001715|FBbt:00001911	larval endocrine system|larval nervous system	
FBbt:00007026	adult midgut epithelium	FBbt:00047109	midgut epithelium	FBbt:00003004	adult	FBbt:00003138	adult midgut	
FBbt:00007072	adult anterior dorsal commissure	FBbt:00052197	anterior dorsal commissure	FBbt:00003004	adult	FBbt:00110636	adult cerebral ganglion	
FBbt:00007073	adult frontal median commissure	FBbt:00049221	frontal median commissure	FBbt:00003004	adult	FBbt:00110636	adult cerebral ganglion	
FBbt:00007074	adult lateral accessory lobe commissure	FBbt:00049223	lateral accessory lobe commissure	FBbt:00003004	adult	FBbt:00110636	adult cerebral ganglion	
FBbt:00007075	adult superior arch commissure	FBbt:00049270	superior arch commissure	FBbt:00003004	adult	FBbt:00110636	adult cerebral ganglion	
FBbt:00007078	adult sub-ellipsoid commissure	FBbt:00052195	sub-ellipsoid commissure	FBbt:00003004	adult	FBbt:00007145	adult protocerebrum	
FBbt:00007080	adult great commissure	FBbt:00047941	great commissure	FBbt:00003004	adult	FBbt:00007145|FBbt:00110636	adult protocerebrum|adult cerebral ganglion	
FBbt:00007083	adult posterior lateral fascicle	FBbt:00049232	posterior lateral fascicle	FBbt:00003004	adult	FBbt:00007145	adult protocerebrum	
FBbt:00007116	presumptive embryonic/larval system	FBbt:00040003	non-connected developing system	FBbt:00000052	embryo	FBbt:00000052	embryo	
FBbt:00007122	larval dorsal posterior protocerebral tract	FBbt:00049219	dorsal posterior protocerebral tract	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00007145	adult protocerebrum	FBbt:00003627	protocerebrum	FBbt:00003004	adult	FBbt:00110638	adult supraesophageal zone	
FBbt:00007148	embryonic/larval antennal lobe tract	FBbt:00001635	antennal lobe tract	FBbt:00001727	larva	FBbt:00001920	larval brain	
FBbt:00007153	embryonic/larval antennal lobe glomerulus	FBbt:00003925	antennal lobe glomerulus	FBbt:00001727	larva	FBbt:00007127	embryonic/larval antennal lobe	
FBbt:00007320	embryonic/larval cardial cell	FBbt:00007319	cardial cell	FBbt:00001727	larva	FBbt:00001673	embryonic/larval dorsal vessel	
FBbt:00007512	embryonic/larval gut	FBbt:00047143	gut	FBbt:00001727	larva	FBbt:00100323	embryonic/larval alimentary canal	
FBbt:00007513	adult gut	FBbt:00047143	gut	FBbt:00003004	adult	FBbt:00100322	adult alimentary canal	
FBbt:00007586	larval abdominal segment A1-7	FBbt:00052393	anterior abdominal segment	FBbt:00001727	larva	FBbt:00001746	larval abdomen	
FBbt:00007677	medial lobe of adult mushroom body	FBbt:00005408	mushroom body medial lobe	FBbt:00003004	adult	FBbt:00013688	lobe system of adult mushroom body	
FBbt:00007702	longitudinal domain of larval central nervous system	FBbt:00007701	longitudinal subdivision of central nervous system	FBbt:00001727	larva	FBbt:00001919	larval central nervous system	
FBbt:00011677	larval ostial valve	FBbt:00003166	ostial valve	FBbt:00001727	larva	FBbt:00001673	embryonic/larval dorsal vessel	
FBbt:00013166	adult ostial valve	FBbt:00003166	ostial valve	FBbt:00003004	adult	FBbt:00003152	adult dorsal vessel	
FBbt:00013688	lobe system of adult mushroom body	FBbt:00003688	lobe system of mushroom body	FBbt:00003004	adult	FBbt:00003684	adult mushroom body	
FBbt:00014013	adult gnathal ganglion	FBbt:00004013	gnathal ganglion	FBbt:00003004	adult	FBbt:00047887|FBbt:00110639	adult central brain|adult subesophageal zone	
