defined_class	defined_class_label	parent	parent_label	defining_detection	defining_detection_label	defining_perception	defining_perception_label	location	location_label	other_detection	other_detection_label	other_perception	other_perception_label	other_detection_copo	other_detection_copo_label	other_perception_copo	other_perception_copo_label
FBbt:00047461	gustatory receptor neuron C7 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00047461	gustatory receptor neuron C7 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050915	sensory perception of sour taste				
FBbt:00047461	gustatory receptor neuron C7 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste				
FBbt:00047461	gustatory receptor neuron C7 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050917	sensory perception of umami taste				
FBbt:00047485	calcium-sensing neuron of labellar S-type taste bristle									GO:0005513	detection of calcium ion	GO:0007600	sensory perception				
FBbt:00047485	calcium-sensing neuron of labellar S-type taste bristle									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00048014	adult Ir56d neuron of labellar taste peg									GO:0003031	detection of carbon dioxide	GO:0007600	sensory perception				
FBbt:00048014	adult Ir56d neuron of labellar taste peg									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048015	adult Ir56d neuron of labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste				
FBbt:00048080	leg mechanosensory bristle	FBbt:00005177	chaeta	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception	FBbt:00004640	leg								
FBbt:00048136	pharyngeal VL1 neuron									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048141	adult gustatory receptor neuron Gr68a (male)									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048143	Gr2a neuron of adult labral sensillum 7									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00048149	ventral cibarial sense organ neuron V6									GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste				
FBbt:00048160	bitter-sensitive labellar taste bristle													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048161	short labellar taste bristle S-a													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048162	short labellar taste bristle S-b													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048163	intermediate labellar taste bristle I-b													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048164	intermediate labellar taste bristle I-a													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048171	prothoracic leg tarsal taste bristle 2b													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048176	prothoracic leg tarsal taste bristle 3b													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048179	prothoracic leg tarsal taste bristle 4b													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048180	prothoracic leg tarsal taste bristle 4c													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048182	prothoracic leg tarsal taste bristle 4s													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048182	prothoracic leg tarsal taste bristle 4s													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048184	prothoracic leg tarsal taste bristle 5b													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048184	prothoracic leg tarsal taste bristle 5b													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048185	prothoracic leg tarsal taste bristle 5v													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048186	prothoracic leg tarsal taste bristle 5s													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048186	prothoracic leg tarsal taste bristle 5s													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048186	prothoracic leg tarsal taste bristle 5s													GO:0009593	detection of chemical stimulus	GO:0050917	sensory perception of umami taste
FBbt:00048194	mesothoracic leg tarsal taste bristle 4s													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048194	mesothoracic leg tarsal taste bristle 4s													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048196	mesothoracic leg tarsal taste bristle 5b													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048196	mesothoracic leg tarsal taste bristle 5b													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048197	mesothoracic leg tarsal taste bristle 5v													GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste
FBbt:00048197	mesothoracic leg tarsal taste bristle 5v													GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste
FBbt:00048237	larval anus sensory neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00048271	wing margin taste bristle	FBbt:00004326	wing margin bristle	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste										
FBbt:00048272	wing margin mechanosensory bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00048294	adult abdominal multidendritic neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00048300	adult leg stretch receptor neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00048358	gustatory receptor neuron B3 of the terminal organ dorsolateral group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048360	gustatory receptor neuron C8 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048361	gustatory receptor neuron C9 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048362	gustatory receptor neuron C10 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048363	gustatory receptor neuron C11 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048364	gustatory receptor neuron C12 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048365	gustatory receptor neuron C13 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048366	gustatory receptor neuron C14 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048367	gustatory receptor neuron C15 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048368	gustatory receptor neuron C16 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00048471	nociceptive neuron	FBbt:00005106	neuron	GO:0051606	detection of stimulus	GO:0019233	sensory perception of pain										
FBbt:00048518	interoceptive SEZ neuron									GO:0043575	detection of osmotic stimulus	GO:0007600	sensory perception				
FBbt:00049284	adult enteroendocrine precursor cell									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00049572	bilateral campaniform sensillum neuron of leg									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00049573	ipsilateral multi-neuromere campaniform sensillum neuron of leg									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00049574	single-neuromere campaniform sensillum neuron of leg									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00049615	salt-sensing neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste										
FBbt:00049617	umami-sensing neuron	FBbt:00005106	neuron	GO:0009593	detection of chemical stimulus	GO:0050917	sensory perception of umami taste										
FBbt:00049720	non-aristal sensory neuron VP3									GO:0016048	detection of temperature stimulus	GO:0062035	sensory perception of cold stimulus				
FBbt:00049944	adult female reproductive tract mechanosensory neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00051494	adult antennal lobe receptor neuron									GO:0051606	detection of stimulus	GO:0007600	sensory perception				
FBbt:00051968	labellar mechanosensory bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00051986	dorsal organ warming cell									GO:0016048	detection of temperature stimulus	GO:0062036	sensory perception of hot stimulus				
FBbt:00052186	Ir94e neuron of large labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00052290	adult pheromone-sensing fru neuron of prothoracic leg (male)									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00052290	adult pheromone-sensing fru neuron of prothoracic leg (male)									GO:0043695	detection of pheromone	GO:0007600	sensory perception				
FBbt:00052561	high salt-sensing neuron of labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00052624	adult Epi descending neuron									GO:0016048	detection of temperature stimulus	GO:0062036	sensory perception of hot stimulus				
FBbt:00058027	adult sugar-sensing neuron of hypocerebral ganglion									GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste				
FBbt:00058155	water-sensing neuron									GO:0043575	detection of osmotic stimulus	GO:0007600	sensory perception				
FBbt:00058222	sugar-sensing neuron of the adult brain									GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste				
FBbt:00058229	high salt-sensing neuron of labellar L-type sensillum									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00058248	embryonic/larval pheromone-sensing neuron	FBbt:00001446	larval neuron	GO:0043695	detection of pheromone	GO:0007600	sensory perception										
