defined_class	defined_class_label	defining_modality	defining_modality_label	other_modality	other_modality_label	dendrite_location	dendrite_location_label	soma_location	soma_location_label	nerve	nerve_label
FBbt:00111213	mechanosensory neuron of anterior notopleural bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004301	anterior notopleural bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111214	mechanosensory neuron of posterior notopleural bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004302	posterior notopleural bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111215	mechanosensory neuron of anterior supraalar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004304	anterior supraalar bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111216	mechanosensory neuron of posterior supraalar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004305	posterior supraalar bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111217	mechanosensory neuron of presutural bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004299	presutural bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111218	mechanosensory neuron of anterior postalar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004310	anterior postalar bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111219	mechanosensory neuron of posterior postalar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004311	posterior postalar bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111220	mechanosensory neuron of anterior dorsocentral bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004307	anterior dorsocentral bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111221	mechanosensory neuron of posterior dorsocentral bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004308	posterior dorsocentral bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111222	mechanosensory neuron of anterior scutellar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004313	anterior scutellar bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111223	mechanosensory neuron of posterior scutellar bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004314	posterior scutellar bristle			FBbt:00004061	adult posterior dorsal mesothoracic nerve
FBbt:00111224	mechanosensory neuron of humeral bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004249	humeral bristle				
