defined_class	defined_class_label	parent	parent_label	soma_loc	soma_loc_label
FBbt:00051357	larval abdominal 1 A03b neuron	FBbt:00051352	larval A03b neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051358	larval abdominal 1 A03e neuron	FBbt:00051353	larval A03e neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051359	larval abdominal 1 A03k neuron	FBbt:00051354	larval A03k neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00051360	larval abdominal 3 A02a neuron	FBbt:00111662	larval A02a neuron	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051361	larval abdominal 3 A02b neuron	FBbt:00111664	larval A02b neuron	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051372	larval abdominal 3 eIN-1 neuron	FBbt:00111730	larval excitatory interneuron eIN-1	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051373	larval abdominal 4 eIN-1 neuron	FBbt:00111730	larval excitatory interneuron eIN-1	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00051374	larval abdominal 5 eIN-1 neuron	FBbt:00111730	larval excitatory interneuron eIN-1	FBbt:00051994	cell body rind of larval abdominal 5 neuromere
FBbt:00051375	larval abdominal 2 eIN-2 neuron	FBbt:00111731	larval excitatory interneuron eIN-2	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00051376	larval abdominal 3 eIN-2 neuron	FBbt:00111731	larval excitatory interneuron eIN-2	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051377	larval abdominal 4 eIN-2 neuron	FBbt:00111731	larval excitatory interneuron eIN-2	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00051378	larval abdominal 2 eIN-3 neuron	FBbt:00111732	larval excitatory interneuron eIN-3	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00051379	larval abdominal 3 eIN-3 neuron	FBbt:00111732	larval excitatory interneuron eIN-3	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051380	larval abdominal 4 eIN-3 neuron	FBbt:00111732	larval excitatory interneuron eIN-3	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00051381	larval abdominal 2 eIN-4 neuron	FBbt:00111733	larval excitatory interneuron eIN-4	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00051382	larval abdominal 3 eIN-4 neuron	FBbt:00111733	larval excitatory interneuron eIN-4	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051383	larval abdominal 4 eIN-4 neuron	FBbt:00111733	larval excitatory interneuron eIN-4	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00051384	larval abdominal 3 eIN-5 neuron	FBbt:00111734	larval excitatory interneuron eIN-5	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051385	larval abdominal 4 eIN-5 neuron	FBbt:00111734	larval excitatory interneuron eIN-5	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00051386	larval abdominal 5 eIN-5 neuron	FBbt:00111734	larval excitatory interneuron eIN-5	FBbt:00051994	cell body rind of larval abdominal 5 neuromere
FBbt:00051387	larval abdominal 3 eIN-6 neuron	FBbt:00111735	larval excitatory interneuron eIN-6	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051388	larval abdominal 4 eIN-6 neuron	FBbt:00111735	larval excitatory interneuron eIN-6	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00051389	larval abdominal 3 iIN-1 neuron	FBbt:00111736	larval abdominal inhibitory interneuron iIN-1	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00051390	larval abdominal 4 iIN-1 neuron	FBbt:00111736	larval abdominal inhibitory interneuron iIN-1	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00051391	larval abdominal 5 iIN-1 neuron	FBbt:00111736	larval abdominal inhibitory interneuron iIN-1	FBbt:00051994	cell body rind of larval abdominal 5 neuromere
FBbt:00051392	larval abdominal 6 iIN-1 neuron	FBbt:00111736	larval abdominal inhibitory interneuron iIN-1	FBbt:00051995	cell body rind of larval abdominal 6 neuromere
FBbt:00052012	adult octopaminergic neuron of abdominal ganglion	FBbt:00007364	octopaminergic neuron	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00052032	gnathal ganglion neuron	FBbt:00005106	neuron	FBbt:00004013	gnathal ganglion
FBbt:00052357	adult abdominal histaminergic neuron	FBbt:00007367	histaminergic neuron	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00052358	adult mesothoracic histaminergic neuron	FBbt:00007367	histaminergic neuron	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00052359	adult metathoracic histaminergic neuron	FBbt:00007367	histaminergic neuron	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00052554	larval metathoracic A00g neuron	FBbt:00048643	larval A00g neuron	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00052555	larval abdominal 4 A26f neuron	FBbt:00048674	larval A26f neuron	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00052599	prothoracic tibial pretarsal depressor muscle motor neuron	FBbt:00053061	tibial pretarsal depressor muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00052600	prothoracic femoral pretarsal depressor muscle motor neuron	FBbt:00053062	femoral pretarsal depressor muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00052634	prothoracic femoral chordotonal hook extension neuron	FBbt:00052632	femoral chordotonal hook extension neuron	FBbt:00000017	prothoracic segment
FBbt:00052635	mesothoracic femoral chordotonal hook extension neuron	FBbt:00052632	femoral chordotonal hook extension neuron	FBbt:00000018	mesothoracic segment
FBbt:00052636	metathoracic femoral chordotonal hook extension neuron	FBbt:00052632	femoral chordotonal hook extension neuron	FBbt:00000019	metathoracic segment
FBbt:00052637	mesothoracic femoral chordotonal hook flexion neuron	FBbt:00052633	femoral chordotonal hook flexion neuron	FBbt:00000018	mesothoracic segment
FBbt:00052638	metathoracic femoral chordotonal hook flexion neuron	FBbt:00052633	femoral chordotonal hook flexion neuron	FBbt:00000019	metathoracic segment
FBbt:00052639	prothoracic femoral chordotonal hook flexion neuron	FBbt:00052633	femoral chordotonal hook flexion neuron	FBbt:00000017	prothoracic segment
FBbt:00052667	larval mesothoracic T11v neuron	FBbt:00048690	larval T11v neuron	FBbt:00051988	cell body rind of larval mesothoracic neuromere
FBbt:00052668	larval abdominal 1 A02l neuron	FBbt:00111663	larval A02l neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00052669	larval abdominal 2 A02l neuron	FBbt:00111663	larval A02l neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00052670	larval abdominal 3 A02l neuron	FBbt:00111663	larval A02l neuron	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00052671	larval abdominal 3 A14g neuron	FBbt:00111231	larval A14g neuron	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00052686	larval abdominal 6 canon neuron	FBbt:00048561	larval canon neuron	FBbt:00051995	cell body rind of larval abdominal 6 neuromere
FBbt:00053059	prothoracic extracoxal trochanter depressor muscle motor neuron	FBbt:00053152	extracoxal trochanter depressor muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053067	prothoracic tarsal retro depressor muscle motor neuron	FBbt:00053136	tarsal retro depressor muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00053069	prothoracic tarsal levator muscle motor neuron	FBbt:00053138	tarsal levator muscle motor neuron	FBbt:00111083	cell body rind of adult prothoracic neuromere
