defined_class	defined_class_label	Ib_muscle_cell	Ib_muscle_cell_label	other_Ib_muscle	other_Ib_muscle_label	Is_muscle_cell	Is_muscle_cell_label	other_Is_muscle	other_Is_muscle_label	II_muscle_cell	II_muscle_cell_label	other_II_muscle	other_II_muscle_label	III_muscle_cell	III_muscle_cell_label	other_III_muscle	other_III_muscle_label	neuroblast	neuroblast_label	nerve	nerve_label
FBbt:00110240	A1-7 DO4 motor neuron	FBbt:00000612	muscle cell of A1-7 dorsal oblique muscle 4															FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110241	DO5 motor neuron	FBbt:00000613	muscle cell of A1-7 dorsal oblique muscle 5															FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110252	VA1 motor neuron	FBbt:00110253	muscle cell of ventral acute muscle 1																		
FBbt:00110254	A1-7 VA1 motor neuron	FBbt:00000595	muscle cell of A1-7 ventral acute muscle 1																	FBbt:00007329|FBbt:00110212|FBbt:00002197	larval segmental nerve branch SNc of A1-7|larval segmental nerve root of A1-7|larval abdominal segmental nerve
FBbt:00110255	VA2 motor neuron	FBbt:00110256	muscle cell of ventral acute muscle 2																	FBbt:00110212|FBbt:00007329|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNc of A1-7|larval abdominal segmental nerve
FBbt:00110258	VA3 motor neuron	FBbt:00000597	muscle cell of ventral acute muscle 3																	FBbt:00110212|FBbt:00007329|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNc of A1-7|larval abdominal segmental nerve
FBbt:00110261	LT1 motor neuron	FBbt:00110262	muscle cell of lateral transverse muscle 1	FBbt:00110265	muscle cell of lateral transverse muscle 2													FBbt:00001385	neuroblast NB2-2	FBbt:00002037	larval segmental nerve
FBbt:00110263	A1-7 LT1 motor neuron	FBbt:00000627	muscle cell of A1-7 lateral transverse muscle 1	FBbt:00000628	muscle cell of A1-7 lateral transverse muscle 2													FBbt:00001387	abdominal neuroblast NB2-2	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110270	LT4 motor neuron	FBbt:00110271	muscle cell of lateral transverse muscle 4	FBbt:00110268	muscle cell of lateral transverse muscle 3													FBbt:00001388	neuroblast NB3-2	FBbt:00002037	larval segmental nerve
FBbt:00110272	A1-7 LT4 motor neuron	FBbt:00000630	muscle cell of A1-7 lateral transverse muscle 4	FBbt:00000629	muscle cell of A1-7 lateral transverse muscle 3													FBbt:00052425	abdominal neuroblast NB3-2	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110273	LO1 motor neuron	FBbt:00000468	muscle cell of lateral oblique muscle 1																		
FBbt:00110274	A1-7 LO1 motor neuron	FBbt:00000615	muscle cell of A1-7 lateral oblique muscle 1															FBbt:00001422	neuroblast NB3-3	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110275	SBM motor neuron	FBbt:00000483	segment border muscle cell																		
FBbt:00110276	A1-7 SBM motor neuron	FBbt:00000606	A1-7 segment border muscle cell															FBbt:00001411	neuroblast NB2-4	FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
FBbt:00110277	DT1 motor neuron	FBbt:00000471	dorsal transverse muscle cell																		
FBbt:00110278	A1-7 DT1 motor neuron	FBbt:00000625	muscle cell of A1-7 dorsal transverse muscle 1															FBbt:00001388	neuroblast NB3-2	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00110279	VT1 motor neuron	FBbt:00110280	muscle cell of ventral transverse muscle 1															FBbt:00001397	neuroblast NB4-1	FBbt:00001996|FBbt:00110306	larval transverse nerve|transverse nerve root
FBbt:00110282	VO3 motor neuron	FBbt:00110283	muscle cell of ventral oblique muscle 3																	FBbt:00001997	larval intersegmental nerve
FBbt:00110284	A1-7 VO3 motor neuron	FBbt:00000619	muscle cell of A1-7 ventral oblique muscle 3															FBbt:00001389	neuroblast NB4-2	FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00110289	VO4-6 motor neuron	FBbt:00000622	muscle cell of ventral oblique muscle 6	FBbt:00000620|FBbt:00000621	muscle cell of ventral oblique muscle 4|muscle cell of ventral oblique muscle 5													FBbt:00006038	ganglion mother cell GMC7-1d	FBbt:00110210|FBbt:00002319|FBbt:00007327	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve|larval intersegmental nerve branch ISNd of A1-7
FBbt:00110292	A1-7 VL2 motor neuron	FBbt:00000603	muscle cell of A1-7 ventral longitudinal muscle 2															FBbt:00001394	neuroblast NB3-1	FBbt:00007326|FBbt:00002319	larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00110295	dorsal VUM motor neuron									FBbt:00000475	dorsal acute muscle cell	FBbt:00000467	dorsal oblique muscle cell					FBbt:00001428	VUM precursor	FBbt:00001997	larval intersegmental nerve
FBbt:00110297	ventral VUM motor neuron									FBbt:00000482	ventral longitudinal muscle cell	FBbt:00000469	ventral oblique muscle cell					FBbt:00001428	VUM precursor	FBbt:00001997	larval intersegmental nerve
FBbt:00110300	V motor neuron													FBbt:00110301	muscle cell of ventral longitudinal muscle 1			FBbt:00001376	neuroblast NB5-2	FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00110302	A1-7 V motor neuron													FBbt:00000602	muscle cell of A1-7 ventral longitudinal muscle 1						
FBbt:00110308	lateral VUM motor neuron									FBbt:00000472	lateral transverse muscle cell							FBbt:00001428	VUM precursor	FBbt:00002037	larval segmental nerve
