root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941666660595,-23.604271869854333,6.174305069502931,720575941666660595,76001336827001936,"115867, 92500, 2932",right,neck_connective,descending,putative_primary,NA,NA,DNpe014,DNpe014,DNxn119,flight steering 1,CNS_04
720575941666666483,24.100937862201334,-14.244840037766355,720575941666666483,76212442992095205,"121259, 92500, 2574",left,neck_connective,ascending,05B,NA,NA,AN05B106,AN_GNG_FLA_2,AN05B106,feeding,CNS_06
720575941666925745,-5.43414733906209,-27.233888995591066,720575941666925745,75930968082726321,"114008, 92500, 2904",right,neck_connective,descending,MX12,NA,NA,DNg12_d,DNg12_d,NA,grooming,CNS_01
720575941667034355,18.5732431600529,-1.673980486336607,720575941667034355,76071705503750429,"118493, 92500, 2574",left,neck_connective,ascending,05B,NA,NA,AN05B069,AN_GNG_196,AN05B069,proprioceptive,CNS_02
720575941667036081,-29.617035846905107,9.871575939711672,720575941667036081,76847823610128586,"141110, 153701, 4046",left,neck_connective,ascending,07B,NA,NA,AN07B071,AN_GNG_175,AN07B071,flight steering 1,CNS_01
720575941667205553,4.370585937305096,7.980570423659427,720575941667205553,76071705504366435,"118601, 92500, 2793",left,neck_connective,ascending,08B,NA,NA,AN08B015,AN_GNG_186,AN08B015,threat response,CNS_02
720575941667252211,29.566586513324378,-3.93036974662866,720575941667252211,76142074180717615,"119766, 92500, 2542",left,neck_connective,ascending,TBD,NA,NA,ANXXX151,AN_AVLP_22,ANXXX151,feeding,CNS_05
720575941667326707,19.470639247699378,13.658945667800051,720575941667326707,76071705504035252,"118011, 92500, 2673",left,neck_connective,ascending,10B,NA,NA,AN10B046,AN_GNG_166,AN10B046,proprioceptive,CNS_02
720575941492328167,-5.628447513775225,-11.166727435532469,720575941492328167,76001336760138156,"114906, 92500, 2776",left,neck_connective,descending,LB7__prim,NA,NA,DNge037,DNge037,DNxl014,probing,CNS_02
720575941667400179,-18.605448703960768,19.568061459120848,720575941667400179,76356548339233727,"126580, 192732, 5018",left,ventral_nerve_cord,ascending,08B,NA,NA,AN08B071,AN_4_None,AN08B071,flight steering 2,CNS_01
720575941668336883,14.65487958888591,-14.17068136924829,720575941668336883,76707085920219719,"136858, 153964, 3197",left,neck_connective,ascending,08B,NA,NA,AN08B023,AN_GNG_SAD_4,AN08B023,reproduction,CNS_02
