root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941687545356,-2.1456744208012837,-2.608535141694474,720575941687545356,75161585626397520,"90492, 231777, 5946",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad24,NA,MNad24,EFF_01,abdomen motor 1
720575941687653238,6.492687390836594,0.2034369995713959,720575941687653238,76919360853905225,"143233,189695,5100",left,ventral_nerve_cord,efferent,motor,TBD,leg_motor,left_mesothoracic_leg_nerve,trochanter_extensor,NA,Tr extensor MN,EFF_10,middle-hind leg
720575941688270744,0.6529052720392922,5.3393770744920515,720575941688270744,75302116621107738,"95851, 226098, 4776",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right_first_abdominal_nerve,tergotrochanter_extensor_MetaAN,NA,auto:IN19A004,EFF_12,middle-hind leg
720575941688499212,1.5937244162882542,-1.830603689896988,720575941688499212,75723229440330904,"107908, 192746, 4257",right,ventral_nerve_cord,efferent,motor,08A,wing_tension,right_mesothoracic_accessory_nerve,PS2,NA,ps2 MN,EFF_08,flight-energy-power
720575941688507148,-6.306173159090164,-3.1214474151014557,720575941688507148,75373104175876900,"97118, 244113, 5960",left,ventral_nerve_cord,efferent,visceral_circulatory,TBD,ovulation,NA,abd_Dsx_OA,NA,MNad22,EFF_03,abdomen-ovulation
720575941688509403,0.4096322522486427,-1.7441760012983551,720575941688509403,75793942117216163,"109018, 204799, 5447",right,ventral_nerve_cord,efferent,motor,03B,NA,NA,MNad35,NA,auto:IN19A026,EFF_09,abdomen motor 2
720575941688529903,-7.977811647859695,-2.623034806001115,720575941688529903,76422724657904729,"128572,69200,2914",left,central_brain,efferent,visceral_circulatory,DILP__prim,"energy_metabolism,food_intake",NA,m_NSC_DILP,m_NSC_DILP,NA,EFF_06,energy homeostasis
720575941689371288,2.9074317679728257,1.334983377707077,720575941689371288,77340473739645380,"154437, 157367, 4617",left,ventral_nerve_cord,efferent,visceral_circulatory,21X,NA,left_dorsal_prothoracic_nerve,EN21X001,NA,EN21X001,EFF_14,head-eye-antenna
720575941689495515,7.258896039518235,-0.5040801474928132,720575941689495515,76498591631914828,"129656,232612,5597",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_metathoracic_leg_nerve,long_tendon_muscle_ltm_B,NA,ltm1-tibia MN,EFF_10,middle-hind leg
720575941690760923,-2.4105356468831327,-2.6387008139967194,720575941690760923,75021054363431847,"87218, 239139, 6150",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad11,NA,MNad11,EFF_01,abdomen motor 1
720575941691007896,3.483706162961839,3.395294099104477,720575941691007896,76073217265490487,"118259, 138457, 2428",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right_prothoracic_accessory_nerve,pleural_remotor_and_abductor_miller_29,NA,auto:IN01A015,EFF_13,front leg
720575941691080155,6.5513169036234595,0.15824678446061707,720575941691080155,77059823397321552,"147078,181736,4856",left,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,left_mesothoracic_leg_nerve,trochanter_flexor_MesoLN_ventral_3,NA,Tr flexor MN,EFF_10,middle-hind leg
720575941700604634,-6.46151621481526,-3.184642643678116,720575941700604634,75724741939464086,"107666, 237672, 6661",left,ventral_nerve_cord,efferent,visceral_circulatory,TBD,"diuresis,stress_tolerance,pain_threshold",NA,MNad13,NA,MNad13,EFF_03,abdomen-ovulation
720575941701080794,-6.206165625063066,-4.1663316199659555,720575941701080794,74951304161803618,"84509, 256345, 6634",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad04,NA,MNad04,EFF_03,abdomen-ovulation
720575941720479034,7.533751653226731,3.119658499014449,720575941720479034,76987942354234365,"143443, 136812, 2834",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_prothoracic_leg_nerve,trochanter_extensor,NA,auto:IN03A007,EFF_11,front leg
720575941720492346,7.377386258634445,3.264924435865952,720575941720492346,77058448470418950,"145484, 139412, 2632",left,ventral_nerve_cord,efferent,motor,NA,leg_motor,left_prothoracic_leg_nerve,tarsus_depressor_B,NA,auto:Ta depressor MN,EFF_11,front leg
720575941720592698,-2.277113629785659,-2.558253140199112,720575941720592698,75653410854557499,"106373, 210587, 5776",right,ventral_nerve_cord,efferent,motor,TBD,NA,NA,MNad30,NA,MNad30,EFF_01,abdomen motor 1
