FBbt_id	cell_type	synonym	creation_date	asserted_parents	notes
FBbt:20004035	CB0221		2024-02-05T12:00:00Z		
FBbt:20004036	CB0222		2024-02-05T12:00:00Z		
FBbt:20004037	CB0223		2024-02-05T12:00:00Z		
FBbt:20004038	CB0224		2024-02-05T12:00:00Z		
FBbt:20004039	CB0225		2024-02-05T12:00:00Z		
FBbt:20004040	CB0226		2024-02-05T12:00:00Z		
FBbt:20004041	CB0227		2024-02-05T12:00:00Z		
FBbt:20004042	CB0228		2024-02-05T12:00:00Z		
FBbt:20004043	CB0229		2024-02-05T12:00:00Z		
FBbt:20004044	CB0230		2024-02-05T12:00:00Z		
FBbt:20004045	CB0231		2024-02-05T12:00:00Z		
FBbt:20004046	CB0232		2024-02-05T12:00:00Z		
FBbt:20004047	CB0233		2024-02-05T12:00:00Z		
FBbt:20004048	CB0235		2024-02-05T12:00:00Z		
FBbt:20004049	CB0237		2024-02-05T12:00:00Z		
FBbt:20004050	CB0238		2024-02-05T12:00:00Z		
FBbt:20004051	CB0239		2024-02-05T12:00:00Z		
FBbt:20004052	CB0240		2024-02-05T12:00:00Z		
FBbt:20004053	CB0241		2024-02-05T12:00:00Z		
FBbt:20004054	CB0242		2024-02-05T12:00:00Z		
FBbt:20004055	CB0244		2024-02-05T12:00:00Z		
FBbt:20004056	CB0245		2024-02-05T12:00:00Z		
FBbt:20004057	CB0246		2024-02-05T12:00:00Z		
FBbt:20004058	CB0247		2024-02-05T12:00:00Z		
FBbt:20004059	CB0248		2024-02-05T12:00:00Z		
FBbt:20004060	CB0249		2024-02-05T12:00:00Z		
FBbt:20004061	CB0250		2024-02-05T12:00:00Z		
FBbt:20004062	CB0251		2024-02-05T12:00:00Z		
FBbt:20004063	CB0254		2024-02-05T12:00:00Z		
FBbt:20004064	CB0255		2024-02-05T12:00:00Z		
FBbt:20004065	CB0256		2024-02-05T12:00:00Z		
FBbt:20004066	CB0257		2024-02-05T12:00:00Z		
FBbt:20004067	CB0258		2024-02-05T12:00:00Z		
FBbt:20004068	CB0259		2024-02-05T12:00:00Z		
FBbt:20004069	CB0261		2024-02-05T12:00:00Z		
FBbt:20004070	CB0262		2024-02-05T12:00:00Z	FBbt:00051902	Shiu et al. (2024) - FBrf0260565
FBbt:20004071	CB0264		2024-02-05T12:00:00Z		
FBbt:20004072	CB0265		2024-02-05T12:00:00Z		
FBbt:20004073	CB0266		2024-02-05T12:00:00Z		
FBbt:20004074	CB0267		2024-02-05T12:00:00Z		
FBbt:20004075	CB0268		2024-02-05T12:00:00Z		
FBbt:20004076	CB0269		2024-02-05T12:00:00Z		
FBbt:20004077	CB0270		2024-02-05T12:00:00Z		
