ito_lee_hemilineage	hartenstein_hemilineage	NB_id	NB_name	notes
DL1_dorsal	CP2_dorsal	FBbt:00100609	neuroblast CP2	
DL1_ventral	CP2_ventral	FBbt:00100609	neuroblast CP2	
DL2_dorsal	CP3_dorsal	FBbt:00100610	neuroblast CP3	
DL2_ventral	CP3_ventral	FBbt:00100610	neuroblast CP3	
DM1_antero_dorsal	DPMm1_antero_dorsal	FBbt:00050018	neuroblast DM1	
DM1_antero_ventral	DPMm1_antero_ventral	FBbt:00050018	neuroblast DM1	
DM1_CX_d2	DPMm1_CX_d2	FBbt:00050018	neuroblast DM1	
DM1_CX_p	DPMm1_CX_p	FBbt:00050018	neuroblast DM1	
DM1_CX_v	DPMm1_CX_v	FBbt:00050018	neuroblast DM1	
DM1_dorsal	DPMm1_dorsal	FBbt:00050018	neuroblast DM1	
DM1_posterior	DPMm1_posterior	FBbt:00050018	neuroblast DM1	
DM2_central	DPMpm1_central	FBbt:00050121	neuroblast DM2	
DM2_CX_d1	DPMpm1_CX_d1	FBbt:00050121	neuroblast DM2	
DM2_CX_d2	DPMpm1_CX_d2	FBbt:00050121	neuroblast DM2	
DM2_CX_p	DPMpm1_CX_p	FBbt:00050121	neuroblast DM2	
DM2_CX_v	DPMpm1_CX_v	FBbt:00050121	neuroblast DM2	
DM2_or_DM3_posterior	DPMpm1_or_DPMpm2_posterior			
DM3__prim	DPMpm2__prim	FBbt:00050100	neuroblast DM3	
DM3_CX_d1	DPMpm2_CX_d1	FBbt:00050100	neuroblast DM3	
DM3_CX_d2	DPMpm2_CX_d2	FBbt:00050100	neuroblast DM3	
