banc_region	source	region_type	segment_id	FBbt_id	FBbt_name	notes
DL2v_R	SCHLEGEL	glomerulus	526	FBbt:00100376	antennal lobe glomerulus DL2v	
DL3_L	SCHLEGEL	glomerulus	527	FBbt:00003964	antennal lobe glomerulus DL3	
DL3_R	SCHLEGEL	glomerulus	528	FBbt:00003964	antennal lobe glomerulus DL3	
DL4_L	SCHLEGEL	glomerulus	529	FBbt:00003965	antennal lobe glomerulus DL4	
DL4_R	SCHLEGEL	glomerulus	530	FBbt:00003965	antennal lobe glomerulus DL4	
DL5_L	SCHLEGEL	glomerulus	531	FBbt:00003970	antennal lobe glomerulus DL5	
DL5_R	SCHLEGEL	glomerulus	532	FBbt:00003970	antennal lobe glomerulus DL5	
DM1_L	SCHLEGEL	glomerulus	533	FBbt:00003975	antennal lobe glomerulus DM1	
DM1_R	SCHLEGEL	glomerulus	534	FBbt:00003975	antennal lobe glomerulus DM1	
DM2_L	SCHLEGEL	glomerulus	535	FBbt:00003971	antennal lobe glomerulus DM2	
DM2_R	SCHLEGEL	glomerulus	536	FBbt:00003971	antennal lobe glomerulus DM2	
DM3_L	SCHLEGEL	glomerulus	537	FBbt:00003972	antennal lobe glomerulus DM3	
DM3_R	SCHLEGEL	glomerulus	538	FBbt:00003972	antennal lobe glomerulus DM3	
DM4_L	SCHLEGEL	glomerulus	539	FBbt:00003976	antennal lobe glomerulus DM4	
DM4_R	SCHLEGEL	glomerulus	540	FBbt:00003976	antennal lobe glomerulus DM4	
DM5_L	SCHLEGEL	glomerulus	541	FBbt:00003940	antennal lobe glomerulus DM5	
DM5_R	SCHLEGEL	glomerulus	542	FBbt:00003940	antennal lobe glomerulus DM5	
DM6_L	SCHLEGEL	glomerulus	543	FBbt:00003941	antennal lobe glomerulus DM6	
DM6_R	SCHLEGEL	glomerulus	544	FBbt:00003941	antennal lobe glomerulus DM6	
DP1l_L	SCHLEGEL	glomerulus	545	FBbt:00007098	antennal lobe glomerulus DP1l	
DP1l_R	SCHLEGEL	glomerulus	546	FBbt:00007098	antennal lobe glomerulus DP1l	
DP1m_L	SCHLEGEL	glomerulus	547	FBbt:00007097	antennal lobe glomerulus DP1m	
DP1m_R	SCHLEGEL	glomerulus	548	FBbt:00007097	antennal lobe glomerulus DP1m	
D_L	SCHLEGEL	glomerulus	501	FBbt:00003960	antennal lobe glomerulus D	
D_R	SCHLEGEL	glomerulus	502	FBbt:00003960	antennal lobe glomerulus D	
VA1d_L	SCHLEGEL	glomerulus	551	FBbt:00007101	antennal lobe glomerulus VA1d	
VA1d_R	SCHLEGEL	glomerulus	552	FBbt:00007101	antennal lobe glomerulus VA1d	
VA1v_L	SCHLEGEL	glomerulus	553	FBbt:00007363	antennal lobe glomerulus VA1v	
VA1v_R	SCHLEGEL	glomerulus	554	FBbt:00007363	antennal lobe glomerulus VA1v	
VA2_L	SCHLEGEL	glomerulus	555	FBbt:00003942	antennal lobe glomerulus VA2	
VA2_R	SCHLEGEL	glomerulus	556	FBbt:00003942	antennal lobe glomerulus VA2	
VA3_L	SCHLEGEL	glomerulus	557	FBbt:00003943	antennal lobe glomerulus VA3	
VA3_R	SCHLEGEL	glomerulus	558	FBbt:00003943	antennal lobe glomerulus VA3	
VA4_L	SCHLEGEL	glomerulus	559	FBbt:00003944	antennal lobe glomerulus VA4	
VA4_R	SCHLEGEL	glomerulus	560	FBbt:00003944	antennal lobe glomerulus VA4	
VA5_L	SCHLEGEL	glomerulus	561	FBbt:00003937	antennal lobe glomerulus VA5	
VA5_R	SCHLEGEL	glomerulus	562	FBbt:00003937	antennal lobe glomerulus VA5	
VA6_L	SCHLEGEL	glomerulus	563	FBbt:00003938	antennal lobe glomerulus VA6	
VA6_R	SCHLEGEL	glomerulus	564	FBbt:00003938	antennal lobe glomerulus VA6	
VA7l_L	SCHLEGEL	glomerulus	565	FBbt:00007103	antennal lobe glomerulus VA7l	
VA7l_R	SCHLEGEL	glomerulus	566	FBbt:00007103	antennal lobe glomerulus VA7l	
VA7m_L	SCHLEGEL	glomerulus	567	FBbt:00007102	antennal lobe glomerulus VA7m	
VA7m_R	SCHLEGEL	glomerulus	568	FBbt:00007102	antennal lobe glomerulus VA7m	
VC1_L	SCHLEGEL	glomerulus	569	FBbt:00003952	antennal lobe glomerulus VC1	
VC1_R	SCHLEGEL	glomerulus	570	FBbt:00003952	antennal lobe glomerulus VC1	
VC2_L	SCHLEGEL	glomerulus	571	FBbt:00003946	antennal lobe glomerulus VC2	
VC2_R	SCHLEGEL	glomerulus	572	FBbt:00003946	antennal lobe glomerulus VC2	
VC3_L	SCHLEGEL	glomerulus	573	FBbt:00003953	antennal lobe glomerulus VC3	
VC3_R	SCHLEGEL	glomerulus	574	FBbt:00003953	antennal lobe glomerulus VC3	
VC4_L	SCHLEGEL	glomerulus	575	FBbt:00007366	antennal lobe glomerulus VC4	
VC4_R	SCHLEGEL	glomerulus	576	FBbt:00007366	antennal lobe glomerulus VC4	
VC5_L	SCHLEGEL	glomerulus	577	FBbt:00007104	antennal lobe glomerulus VC5	
VC5_R	SCHLEGEL	glomerulus	578	FBbt:00007104	antennal lobe glomerulus VC5	
VL1_L	SCHLEGEL	glomerulus	579	FBbt:00003954	antennal lobe glomerulus VL1	
VL1_R	SCHLEGEL	glomerulus	580	FBbt:00003954	antennal lobe glomerulus VL1	
VL2a_L	SCHLEGEL	glomerulus	581	FBbt:00007106	antennal lobe glomerulus VL2a	
VL2a_R	SCHLEGEL	glomerulus	582	FBbt:00007106	antennal lobe glomerulus VL2a	
VL2p_L	SCHLEGEL	glomerulus	583	FBbt:00007107	antennal lobe glomerulus VL2p	
VL2p_R	SCHLEGEL	glomerulus	584	FBbt:00007107	antennal lobe glomerulus VL2p	
VM1_L	SCHLEGEL	glomerulus	585	FBbt:00003956	antennal lobe glomerulus VM1	
VM1_R	SCHLEGEL	glomerulus	586	FBbt:00003956	antennal lobe glomerulus VM1	
VM2_L	SCHLEGEL	glomerulus	587	FBbt:00003947	antennal lobe glomerulus VM2	
VM2_R	SCHLEGEL	glomerulus	588	FBbt:00003947	antennal lobe glomerulus VM2	
VM3_L	SCHLEGEL	glomerulus	589	FBbt:00003948	antennal lobe glomerulus VM3	
VM3_R	SCHLEGEL	glomerulus	590	FBbt:00003948	antennal lobe glomerulus VM3	
VM4_L	SCHLEGEL	glomerulus	591	FBbt:00003957	antennal lobe glomerulus VM4	
VM4_R	SCHLEGEL	glomerulus	592	FBbt:00003957	antennal lobe glomerulus VM4	
VM5d_L	SCHLEGEL	glomerulus	593	FBbt:00007391	antennal lobe glomerulus VM5d	
VM5d_R	SCHLEGEL	glomerulus	594	FBbt:00007391	antennal lobe glomerulus VM5d	
VM5v_L	SCHLEGEL	glomerulus	595	FBbt:00007365	antennal lobe glomerulus VM5v	
VM5v_R	SCHLEGEL	glomerulus	596	FBbt:00007365	antennal lobe glomerulus VM5v	
VM6_L	SCHLEGEL	glomerulus	597	FBbt:00110029	antennal lobe glomerulus VM6	
VM6_R	SCHLEGEL	glomerulus	598	FBbt:00110029	antennal lobe glomerulus VM6	
VM7d_L	SCHLEGEL	glomerulus	599	FBbt:00110028	antennal lobe glomerulus VM7d	
VM7d_R	SCHLEGEL	glomerulus	600	FBbt:00110028	antennal lobe glomerulus VM7d	
VM7v_L	SCHLEGEL	glomerulus	601	FBbt:00007092	antennal lobe glomerulus VM7v	
VM7v_R	SCHLEGEL	glomerulus	602	FBbt:00007092	antennal lobe glomerulus VM7v	
VP1d_L	SCHLEGEL	glomerulus	603	FBbt:00049639	antennal lobe glomerulus VP1d	
VP1d_R	SCHLEGEL	glomerulus	604	FBbt:00049639	antennal lobe glomerulus VP1d	
VP1l_L	SCHLEGEL	glomerulus	605	FBbt:00049640	antennal lobe glomerulus VP1l	
VP1l_R	SCHLEGEL	glomerulus	606	FBbt:00049640	antennal lobe glomerulus VP1l	
VP1m_L	SCHLEGEL	glomerulus	607	FBbt:00049641	antennal lobe glomerulus VP1m	
VP1m_R	SCHLEGEL	glomerulus	608	FBbt:00049641	antennal lobe glomerulus VP1m	
VP2_L	SCHLEGEL	glomerulus	609	FBbt:00003928	antennal lobe glomerulus VP2	
VP2_R	SCHLEGEL	glomerulus	610	FBbt:00003928	antennal lobe glomerulus VP2	
VP3_L	SCHLEGEL	glomerulus	611	FBbt:00003929	antennal lobe glomerulus VP3	
VP3_R	SCHLEGEL	glomerulus	612	FBbt:00003929	antennal lobe glomerulus VP3	
VP4_L	SCHLEGEL	glomerulus	613	FBbt:00110865	antennal lobe glomerulus VP4	
VP4_R	SCHLEGEL	glomerulus	614	FBbt:00110865	antennal lobe glomerulus VP4	
VP5_L	SCHLEGEL	glomerulus	615	FBbt:00047223	antennal lobe glomerulus VP5	
VP5_R	SCHLEGEL	glomerulus	616	FBbt:00047223	antennal lobe glomerulus VP5	
V_L	SCHLEGEL	glomerulus	549	FBbt:00003951	antennal lobe glomerulus V	
V_R	SCHLEGEL	glomerulus	550	FBbt:00003951	antennal lobe glomerulus V	
