Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	ventral longitudinal muscle 4	definition	Dorsal-most of the ventral longitudinal muscles.
ERROR	duplicate_definition	ventral longitudinal muscle 1	definition	Dorsal-most of the ventral longitudinal muscles.
ERROR	duplicate_definition	5-6Icp of thorax	definition	Contralateral primary interneuron of the lineage of the neuroblast NB5-6 of the thorax that projects through the posterior commissure.
ERROR	duplicate_definition	5-6Icp of abdomen	definition	Contralateral primary interneuron of the lineage of the neuroblast NB5-6 of the thorax that projects through the posterior commissure.
ERROR	duplicate_definition	larval abdominal 2 A18b neuron	definition	Cholinergic premotor neuron of the larval abdominal neuromere that is part of lineage 18 (Carreira-Rosario et al., 2018).
ERROR	duplicate_definition	larval abdominal 3 A18b neuron	definition	Cholinergic premotor neuron of the larval abdominal neuromere that is part of lineage 18 (Carreira-Rosario et al., 2018).
ERROR	duplicate_definition	larval abdominal 4 A18b neuron	definition	Cholinergic premotor neuron of the larval abdominal neuromere that is part of lineage 18 (Carreira-Rosario et al., 2018).
ERROR	duplicate_definition	larval abdominal 5 A18b neuron	definition	Cholinergic premotor neuron of the larval abdominal neuromere that is part of lineage 18 (Carreira-Rosario et al., 2018).
ERROR	duplicate_definition	larval abdominal 6 A18b neuron	definition	Cholinergic premotor neuron of the larval abdominal neuromere that is part of lineage 18 (Carreira-Rosario et al., 2018).
ERROR	duplicate_definition	prothoracic trochanter sensillum campaniformium Sc3	definition	Any one of a row of 3 campaniform sensilla located laterally distally on the trochanter.
ERROR	duplicate_definition	metathoracic trochanter sensillum campaniformium Sc3	definition	Any one of a row of 3 campaniform sensilla located laterally distally on the trochanter.
ERROR	duplicate_definition	prothoracic trochanter sensillum campaniformium Sc+5	definition	Any one of 5 medially located prothoracic trochanter sensillum campaniformium Sc13. These are located in hairy cuticle.
ERROR	duplicate_definition	mesothoracic trochanter sensillum campaniformium Sc+5	definition	Any one of 5 medially located prothoracic trochanter sensillum campaniformium Sc13. These are located in hairy cuticle.
ERROR	duplicate_definition	preepisternum	definition	Anterior and major portion of the thoracic episternum.
ERROR	duplicate_definition	prothoracic preepisternum	definition	Anterior and major portion of the thoracic episternum.
ERROR	duplicate_definition	antennal basiconic sensillum ab11	definition	An olfactory basiconic sensillum of the lateral surface of the antenna, innervated by 3 ORNs.
ERROR	duplicate_definition	antennal basiconic sensillum ab12	definition	An olfactory basiconic sensillum of the lateral surface of the antenna, innervated by 3 ORNs.
ERROR	duplicate_definition	air sac primordium stalk cell	definition	Air sac tracheoblast that is not at the tip or leading edge of an air sac primordium.
ERROR	duplicate_definition	dorsal air sac primordium stalk cell	definition	Air sac tracheoblast that is not at the tip or leading edge of an air sac primordium.
ERROR	duplicate_definition	air sac primordium tip cell	definition	Air sac tracheoblast at the tip (leading edge) of the developing air sac primordium. It forms extensive filopodia.
ERROR	duplicate_definition	dorsal air sac primordium tip cell	definition	Air sac tracheoblast at the tip (leading edge) of the developing air sac primordium. It forms extensive filopodia.
ERROR	duplicate_definition	adult lateral horn centrifugal neuron 6	definition	Adult neuron that receives input from MBONs of alpha lobe slice 2, and has output synapses in the lateral horn (Bates et al., 2020). There is one of these per hemisphere and it is a primary neuron (Bates et al., 2020).
ERROR	duplicate_definition	adult lateral horn centrifugal neuron 7	definition	Adult neuron that receives input from MBONs of alpha lobe slice 2, and has output synapses in the lateral horn (Bates et al., 2020). There is one of these per hemisphere and it is a primary neuron (Bates et al., 2020).
ERROR	duplicate_definition	adult lateral horn PV6f1 neuron	definition	Adult lateral horn output neuron that fasciculates with the PV6 primary neurite tract (Bates et al., 2020). It is a secondary neuron that is part of the DPLp1 (LHp2) medial hemilineage (Bates et al., 2020).
