?cls	?xref
<http://purl.obolibrary.org/obo/FBbt_20008548>	"VFB:FBbt_20008548"
<http://purl.obolibrary.org/obo/FBbt_20010745>	"VFB:FBbt_20010745"
<http://purl.obolibrary.org/obo/FBbt_20008041>	"VFB:FBbt_20008041"
<http://purl.obolibrary.org/obo/FBbt_20010467>	"VFB:FBbt_20010467"
<http://purl.obolibrary.org/obo/FBbt_20009093>	"VFB:FBbt_20009093"
<http://purl.obolibrary.org/obo/FBbt_20008312>	"VFB:FBbt_20008312"
<http://purl.obolibrary.org/obo/FBbt_20009274>	"VFB:FBbt_20009274"
<http://purl.obolibrary.org/obo/FBbt_20007970>	"VFB:FBbt_20007970"
<http://purl.obolibrary.org/obo/FBbt_20008326>	"VFB:FBbt_20008326"
<http://purl.obolibrary.org/obo/FBbt_20010372>	"VFB:FBbt_20010372"
<http://purl.obolibrary.org/obo/FBbt_20008497>	"VFB:FBbt_20008497"
<http://purl.obolibrary.org/obo/FBbt_20010855>	"VFB:FBbt_20010855"
<http://purl.obolibrary.org/obo/FBbt_20009376>	"VFB:FBbt_20009376"
<http://purl.obolibrary.org/obo/FBbt_20009892>	"VFB:FBbt_20009892"
<http://purl.obolibrary.org/obo/FBbt_20011157>	"VFB:FBbt_20011157"
<http://purl.obolibrary.org/obo/FBbt_20007978>	"VFB:FBbt_20007978"
<http://purl.obolibrary.org/obo/FBbt_20009486>	"VFB:FBbt_20009486"
<http://purl.obolibrary.org/obo/FBbt_20009996>	"VFB:FBbt_20009996"
<http://purl.obolibrary.org/obo/FBbt_20007795>	"VFB:FBbt_20007795"
<http://purl.obolibrary.org/obo/FBbt_20008702>	"VFB:FBbt_20008702"
<http://purl.obolibrary.org/obo/FBbt_20008682>	"VFB:FBbt_20008682"
<http://purl.obolibrary.org/obo/FBbt_20010032>	"VFB:FBbt_20010032"
<http://purl.obolibrary.org/obo/FBbt_20011084>	"VFB:FBbt_20011084"
<http://purl.obolibrary.org/obo/FBbt_20008977>	"VFB:FBbt_20008977"
<http://purl.obolibrary.org/obo/FBbt_20008501>	"VFB:FBbt_20008501"
<http://purl.obolibrary.org/obo/FBbt_20008470>	"VFB:FBbt_20008470"
<http://purl.obolibrary.org/obo/FBbt_20008696>	"VFB:FBbt_20008696"
<http://purl.obolibrary.org/obo/FBbt_20009532>	"VFB:FBbt_20009532"
<http://purl.obolibrary.org/obo/FBbt_20009007>	"VFB:FBbt_20009007"
<http://purl.obolibrary.org/obo/FBbt_20011098>	"VFB:FBbt_20011098"
<http://purl.obolibrary.org/obo/FBbt_20008965>	"VFB:FBbt_20008965"
<http://purl.obolibrary.org/obo/FBbt_00047524>	"VFB:FBbt_00047524"
<http://purl.obolibrary.org/obo/FBbt_20008054>	"VFB:FBbt_20008054"
<http://purl.obolibrary.org/obo/FBbt_20009801>	"VFB:FBbt_20009801"
<http://purl.obolibrary.org/obo/FBbt_20010082>	"VFB:FBbt_20010082"
<http://purl.obolibrary.org/obo/FBbt_20009642>	"VFB:FBbt_20009642"
<http://purl.obolibrary.org/obo/FBbt_20010565>	"VFB:FBbt_20010565"
<http://purl.obolibrary.org/obo/FBbt_20008509>	"VFB:FBbt_20008509"
<http://purl.obolibrary.org/obo/FBbt_20009795>	"VFB:FBbt_20009795"
<http://purl.obolibrary.org/obo/FBbt_20008305>	"VFB:FBbt_20008305"
<http://purl.obolibrary.org/obo/FBbt_20010910>	"VFB:FBbt_20010910"
<http://purl.obolibrary.org/obo/FBbt_20009389>	"VFB:FBbt_20009389"
<http://purl.obolibrary.org/obo/FBbt_20010343>	"VFB:FBbt_20010343"
<http://purl.obolibrary.org/obo/FBbt_20010192>	"VFB:FBbt_20010192"
<http://purl.obolibrary.org/obo/FBbt_20010848>	"VFB:FBbt_20010848"
<http://purl.obolibrary.org/obo/FBbt_20010675>	"VFB:FBbt_20010675"
<http://purl.obolibrary.org/obo/FBbt_20009809>	"VFB:FBbt_20009809"
<http://purl.obolibrary.org/obo/FBbt_00001374>	"VFB:FBbt_00001374"
<http://purl.obolibrary.org/obo/FBbt_20008415>	"VFB:FBbt_20008415"
<http://purl.obolibrary.org/obo/FBbt_20011252>	"VFB:FBbt_20011252"
<http://purl.obolibrary.org/obo/FBbt_20010453>	"VFB:FBbt_20010453"
<http://purl.obolibrary.org/obo/FBbt_20009989>	"VFB:FBbt_20009989"
<http://purl.obolibrary.org/obo/FBbt_20010792>	"VFB:FBbt_20010792"
<http://purl.obolibrary.org/obo/FBbt_20009753>	"VFB:FBbt_20009753"
<http://purl.obolibrary.org/obo/FBbt_20009957>	"VFB:FBbt_20009957"
<http://purl.obolibrary.org/obo/FBbt_20007745>	"VFB:FBbt_20007745"
<http://purl.obolibrary.org/obo/FBbt_20010003>	"VFB:FBbt_20010003"
<http://purl.obolibrary.org/obo/FBbt_20008290>	"VFB:FBbt_20008290"
<http://purl.obolibrary.org/obo/FBbt_20008033>	"VFB:FBbt_20008033"
<http://purl.obolibrary.org/obo/FBbt_20009863>	"VFB:FBbt_20009863"
<http://purl.obolibrary.org/obo/FBbt_20008047>	"VFB:FBbt_20008047"
<http://purl.obolibrary.org/obo/FBbt_20011190>	"VFB:FBbt_20011190"
<http://purl.obolibrary.org/obo/FBbt_20010801>	"VFB:FBbt_20010801"
<http://purl.obolibrary.org/obo/FBbt_20009635>	"VFB:FBbt_20009635"
<http://purl.obolibrary.org/obo/FBbt_20009205>	"VFB:FBbt_20009205"
<http://purl.obolibrary.org/obo/FBbt_20008125>	"VFB:FBbt_20008125"
<http://purl.obolibrary.org/obo/FBbt_20008372>	"VFB:FBbt_20008372"
<http://purl.obolibrary.org/obo/FBbt_20010185>	"VFB:FBbt_20010185"
<http://purl.obolibrary.org/obo/FBbt_20009942>	"VFB:FBbt_20009942"
<http://purl.obolibrary.org/obo/FBbt_20009307>	"VFB:FBbt_20009307"
<http://purl.obolibrary.org/obo/FBbt_20010432>	"VFB:FBbt_20010432"
<http://purl.obolibrary.org/obo/FBbt_20009705>	"VFB:FBbt_20009705"
<http://purl.obolibrary.org/obo/FBbt_20010110>	"VFB:FBbt_20010110"
<http://purl.obolibrary.org/obo/FBbt_20008235>	"VFB:FBbt_20008235"
<http://purl.obolibrary.org/obo/FBbt_20010281>	"VFB:FBbt_20010281"
<http://purl.obolibrary.org/obo/FBbt_20007697>	"VFB:FBbt_20007697"
<http://purl.obolibrary.org/obo/FBbt_20010709>	"VFB:FBbt_20010709"
<http://purl.obolibrary.org/obo/FBbt_20009495>	"VFB:FBbt_20009495"
<http://purl.obolibrary.org/obo/FBbt_20010446>	"VFB:FBbt_20010446"
<http://purl.obolibrary.org/obo/FBbt_20010295>	"VFB:FBbt_20010295"
<http://purl.obolibrary.org/obo/FBbt_20009009>	"VFB:FBbt_20009009"
<http://purl.obolibrary.org/obo/FBbt_20007909>	"VFB:FBbt_20007909"
<http://purl.obolibrary.org/obo/FBbt_20010016>	"VFB:FBbt_20010016"
<http://purl.obolibrary.org/obo/FBbt_20010819>	"VFB:FBbt_20010819"
<http://purl.obolibrary.org/obo/FBbt_20008330>	"VFB:FBbt_20008330"
<http://purl.obolibrary.org/obo/FBbt_20010753>	"VFB:FBbt_20010753"
<http://purl.obolibrary.org/obo/FBbt_20010143>	"VFB:FBbt_20010143"
<http://purl.obolibrary.org/obo/FBbt_20009167>	"VFB:FBbt_20009167"
<http://purl.obolibrary.org/obo/FBbt_20008401>	"VFB:FBbt_20008401"
<http://purl.obolibrary.org/obo/FBbt_20010118>	"VFB:FBbt_20010118"
<http://purl.obolibrary.org/obo/FBbt_20008268>	"VFB:FBbt_20008268"
