?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/FBbt_20007698>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN01B014 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010759>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN23B035 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010586>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN20A.22A060 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011163>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult MNad43 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009421>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN08B045 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011138>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult MNad18 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008883>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03B022 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008570>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01A029 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007715>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN03B094 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007984>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN11B012 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011043>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX375 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010869>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX095 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007864>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN08B007 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010122>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN16B058 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011092>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX430 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008680>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01B060 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010925>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX219 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008221>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNfl042 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011304>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult SNxx08 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009429>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN08B060 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009454>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN08B108 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010405>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19A086 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010232>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN17A071 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010571>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN20A.22A045 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009383>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN08A030 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011001>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult INXXX320 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008484>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN00A009 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008029>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN17B008 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007922>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN09B004 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009126>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN06A023 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009546>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN09A095 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20007822>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN07B013 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010681>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN21A064 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009817>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN13A029 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010265>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN17A106 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009934>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN13B077 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010096>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN16B024 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009656>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN11B015 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008862>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03A087 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010579>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN20A.22A053 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008124>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult ANXXX071 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20011264>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult SNta05 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008607>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01A069 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008876>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN03B011 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009712>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN12B007 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010357>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19A032 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010689>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN21A072 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008387>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult DNxn129 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009822>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN13A034 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008548>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN01A004 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010745>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN23B020 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20008041>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult AN18B022 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20010467>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN19B011 neuron"	
<http://purl.obolibrary.org/obo/FBbt_20009093>	<http://www.w3.org/2000/01/rdf-schema#label>	"adult IN05B074 neuron"	
