?x	?p	?y
<http://purl.obolibrary.org/obo/FBbt_20009195>	<http://purl.obolibrary.org/obo/RO_0000053>	<http://purl.obolibrary.org/obo/PATO_0000618>
<http://purl.obolibrary.org/obo/FBbt_20009010>	<http://purl.obolibrary.org/obo/RO_0013002>	<http://purl.obolibrary.org/obo/FBbt_00047141>
<http://purl.obolibrary.org/obo/FBbt_20008835>	<http://purl.obolibrary.org/obo/RO_0013003>	<http://purl.obolibrary.org/obo/FBbt_00047142>
<http://purl.obolibrary.org/obo/FBbt_20007861>	<http://purl.obolibrary.org/obo/RO_0002215>	<http://purl.obolibrary.org/obo/GO_0014055>
<http://purl.obolibrary.org/obo/FBbt_20009266>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/FBbt_00001376>
<http://purl.obolibrary.org/obo/FBbt_20008976>	<http://purl.obolibrary.org/obo/RO_0013003>	<http://purl.obolibrary.org/obo/FBbt_00047141>
<http://purl.obolibrary.org/obo/FBbt_20010621>	<http://purl.obolibrary.org/obo/RO_0002215>	<http://purl.obolibrary.org/obo/GO_0014055>
<http://purl.obolibrary.org/obo/FBbt_20008081>	<http://purl.obolibrary.org/obo/RO_0002101>	<http://purl.obolibrary.org/obo/FBbt_00047839>
<http://purl.obolibrary.org/obo/FBbt_20008228>	<http://purl.obolibrary.org/obo/RO_0002101>	<http://purl.obolibrary.org/obo/FBbt_00004019>
<http://purl.obolibrary.org/obo/FBbt_20010393>	<http://purl.obolibrary.org/obo/RO_0002100>	<http://purl.obolibrary.org/obo/FBbt_00110175>
<http://purl.obolibrary.org/obo/FBbt_20009395>	<http://purl.obolibrary.org/obo/RO_0002100>	<http://purl.obolibrary.org/obo/FBbt_00110176>
<http://purl.obolibrary.org/obo/FBbt_20009661>	<http://purl.obolibrary.org/obo/RO_0002215>	<http://purl.obolibrary.org/obo/GO_0061534>
<http://purl.obolibrary.org/obo/FBbt_20008845>	<http://purl.obolibrary.org/obo/RO_0013003>	<http://purl.obolibrary.org/obo/FBbt_00047140>
<http://purl.obolibrary.org/obo/FBbt_20010260>	<http://purl.obolibrary.org/obo/RO_0000053>	<http://purl.obolibrary.org/obo/PATO_0000618>
<http://purl.obolibrary.org/obo/FBbt_20009761>	<http://purl.obolibrary.org/obo/RO_0002215>	<http://purl.obolibrary.org/obo/GO_0061534>
<http://purl.obolibrary.org/obo/FBbt_20011300>	<http://purl.obolibrary.org/obo/RO_0002215>	<http://purl.obolibrary.org/obo/GO_0014055>
<http://purl.obolibrary.org/obo/FBbt_20009173>	<http://purl.obolibrary.org/obo/RO_0002100>	<http://purl.obolibrary.org/obo/FBbt_00110176>
<http://purl.obolibrary.org/obo/FBbt_20009474>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/FBbt_00001375>
<http://purl.obolibrary.org/obo/FBbt_20008056>	<http://purl.obolibrary.org/obo/RO_0002101>	<http://purl.obolibrary.org/obo/FBbt_00047535>
