type	FBbt_id
AN10B039	FBbt:20007972
AN10B045	FBbt:20007973
AN10B046	FBbt:20007974
AN10B047	FBbt:20007975
AN10B048	FBbt:20007976
AN10B049	FBbt:20007977
AN10B051	FBbt:20007978
AN10B053	FBbt:20007979
AN10B056	FBbt:20007980
AN10B060	FBbt:20007981
AN10B061	FBbt:20007982
AN11B008	FBbt:20007983
AN11B012	FBbt:20007984
AN12A003	FBbt:20007985
AN12A017	FBbt:20007986
AN12B001	FBbt:20007987
AN12B004	FBbt:20007988
AN12B005	FBbt:20007989
AN12B006	FBbt:20007990
AN12B008	FBbt:20007991
AN12B011	FBbt:20007992
AN12B017	FBbt:20007993
AN12B019	FBbt:20007994
AN12B055	FBbt:20007995
AN12B060	FBbt:20007996
AN12B076	FBbt:20007997
AN12B080	FBbt:20007998
AN12B089	FBbt:20007999
AN13B002	FBbt:20008000
AN14A003	FBbt:20008001
AN14B012	FBbt:20008002
AN16B078	FBbt:20008003
AN16B081	FBbt:20008004
AN16B112	FBbt:20008005
AN16B116	FBbt:20008006
AN17A002	FBbt:20008007
AN17A003	FBbt:20008008
AN17A004	FBbt:20008009
AN17A008	FBbt:20008010
AN17A009	FBbt:20008011
AN17A012	FBbt:20008012
AN17A013	FBbt:20008013
AN17A014	FBbt:20008014
AN17A015	FBbt:20008015
AN17A018	FBbt:20008016
AN17A024	FBbt:20008017
AN17A026	FBbt:20008018
AN17A031	FBbt:20008019
AN17A047	FBbt:20008020
AN17A050	FBbt:20008021
AN17A062	FBbt:20008022
AN17A068	FBbt:20008023
AN17A073	FBbt:20008024
AN17A076	FBbt:20008025
AN17B002	FBbt:20008026
AN17B005	FBbt:20008027
AN17B007	FBbt:20008028
AN17B008	FBbt:20008029
AN17B009	FBbt:20008030
AN17B011	FBbt:20008031
AN17B012	FBbt:20008032
AN17B013	FBbt:20008033
AN17B016	FBbt:20008034
AN18B001	FBbt:20008035
AN18B002	FBbt:20008036
AN18B003	FBbt:20008037
AN18B004	FBbt:20008038
AN18B019	FBbt:20008039
AN18B020	FBbt:20008040
AN18B022	FBbt:20008041
AN18B023	FBbt:20008042
AN18B025	FBbt:20008043
AN18B032	FBbt:20008044
AN18B053	FBbt:20008045
AN19A018	FBbt:20008046
AN19A019	FBbt:20008047
AN19A038	FBbt:20008048
AN19B001	FBbt:20008049
AN19B004	FBbt:20008050
AN19B009	FBbt:20008051
AN19B010	FBbt:20008052
AN19B014	FBbt:20008053
AN19B015	FBbt:20008054
AN19B017	FBbt:20008055
AN19B018	FBbt:20008056
AN19B019	FBbt:20008057
AN19B022	FBbt:20008058
AN19B024	FBbt:20008059
AN19B025	FBbt:20008060
AN19B028	FBbt:20008061
AN19B032	FBbt:20008062
AN19B036	FBbt:20008063
AN19B039	FBbt:20008064
AN19B042	FBbt:20008065
AN19B044	FBbt:20008066
AN19B046	FBbt:20008067
AN19B049	FBbt:20008068
AN19B051	FBbt:20008069
AN19B059	FBbt:20008070
AN19B060	FBbt:20008071
AN19B061	FBbt:20008072
AN19B063	FBbt:20008073
AN19B065	FBbt:20008074
AN19B074	FBbt:20008075
AN19B076	FBbt:20008076
AN19B079	FBbt:20008077
AN19B093	FBbt:20008078
AN19B098	FBbt:20008079
AN19B099	FBbt:20008080
AN19B100	FBbt:20008081
AN19B101	FBbt:20008082
AN19B102	FBbt:20008083
AN19B104	FBbt:20008084
AN19B106	FBbt:20008085
AN23B001	FBbt:20008086
AN23B002	FBbt:20008087
AN23B003	FBbt:20008088
AN23B004	FBbt:20008089
AN23B010	FBbt:20008090
AN23B026	FBbt:20008091
AN26X004	FBbt:20008092
AN27X003	FBbt:20004627
AN27X008	FBbt:20008093
AN27X009	FBbt:20008094
AN27X011	FBbt:20008095
AN27X013	FBbt:20008096
AN27X015	FBbt:20008097
AN27X016	FBbt:20008098
AN27X017	FBbt:20008099
AN27X018	FBbt:20008100
AN27X019	FBbt:20008101
ANXXX002	FBbt:20008102
ANXXX005	FBbt:20008103
ANXXX006	FBbt:20008104
ANXXX007	FBbt:20008105
ANXXX008	FBbt:20008106
ANXXX013	FBbt:20008107
ANXXX019	FBbt:20008108
ANXXX023	FBbt:20008109
ANXXX024	FBbt:20008110
ANXXX026	FBbt:20008111
ANXXX027	FBbt:20008112
ANXXX030	FBbt:20008113
ANXXX033	FBbt:20008114
ANXXX037	FBbt:20008115
ANXXX041	FBbt:20008116
ANXXX043	FBbt:20008117
ANXXX046	FBbt:20008118
ANXXX049	FBbt:20008119
ANXXX050	FBbt:20008120
ANXXX055	FBbt:20008121
ANXXX057	FBbt:20008122
ANXXX068	FBbt:20008123
ANXXX071	FBbt:20008124
ANXXX072	FBbt:20008125
ANXXX074	FBbt:20008126
ANXXX075	FBbt:20008127
ANXXX082	FBbt:20008128
ANXXX084	FBbt:20008129
ANXXX086	FBbt:20008130
ANXXX090	FBbt:20008131
ANXXX092	FBbt:20008132
ANXXX093	FBbt:20008133
ANXXX094	FBbt:20008134
ANXXX098	FBbt:20008135
ANXXX099	FBbt:20008136
ANXXX102	FBbt:20008137
ANXXX106	FBbt:20008138
ANXXX108	FBbt:20008139
ANXXX109	FBbt:20008140
ANXXX116	FBbt:20008141
ANXXX120	FBbt:20008142
ANXXX127	FBbt:20008143
ANXXX130	FBbt:20008144
ANXXX131	FBbt:20008145
ANXXX132	FBbt:20008146
ANXXX136	FBbt:20008147
ANXXX139	FBbt:20008148
ANXXX144	FBbt:20008149
ANXXX145	FBbt:20008150
ANXXX148	FBbt:20008151
ANXXX150	FBbt:20008152
ANXXX151	FBbt:20008153
ANXXX152	FBbt:20008154
ANXXX154	FBbt:20008155
ANXXX157	FBbt:20008156
ANXXX165	FBbt:20008157
ANXXX169	FBbt:20008158
ANXXX170	FBbt:20008159
ANXXX171	FBbt:20008160
ANXXX174	FBbt:20008161
ANXXX178	FBbt:20008162
ANXXX191	FBbt:20008163
ANXXX196	FBbt:20008164
ANXXX200	FBbt:20008165
ANXXX202	FBbt:20008166
ANXXX214	FBbt:20008167
ANXXX218	FBbt:20008168
ANXXX250	FBbt:20008169
ANXXX254	FBbt:20008170
ANXXX255	FBbt:20008171
ANXXX264	FBbt:20008172
ANXXX296	FBbt:20008173
ANXXX308	FBbt:20008174
ANXXX313	FBbt:20008175
ANXXX318	FBbt:20008176
ANXXX323	FBbt:20008177
ANXXX338	FBbt:20008178
ANXXX362	FBbt:20008179
ANXXX368	FBbt:20008180
ANXXX380	FBbt:20008181
ANXXX404	FBbt:20008182
ANXXX410	FBbt:20008183
ANXXX433	FBbt:20008184
ANXXX434	FBbt:20008185
ANXXX445	FBbt:20008186
ANXXX453	FBbt:20008187
ANXXX462	FBbt:20008188
ANXXX470	FBbt:20008189
DNa13	FBbt:20011336
DNa14	FBbt:20011338
DNa15	FBbt:20011334
DNa16	FBbt:20011335
DNad001	FBbt:20008190
DNad005	FBbt:20008191
DNb07	FBbt:20011360
DNb08	FBbt:20011340
DNd05	FBbt:20011339
DNfl012	FBbt:20008192
DNfl014	FBbt:20008194
DNfl015	FBbt:20008195
DNfl016	FBbt:20008196
DNfl017	FBbt:20008197
DNfl018	FBbt:20008198
DNfl019	FBbt:20008199
DNfl020	FBbt:20008200
DNfl022	FBbt:20008201
DNfl023	FBbt:20008202
DNfl024	FBbt:20008203
DNfl025	FBbt:20008204
DNfl026	FBbt:20008205
DNfl027	FBbt:20008206
DNfl028	FBbt:20008207
DNfl029	FBbt:20008208
DNfl030	FBbt:20008209
DNfl031	FBbt:20008210
DNfl032	FBbt:20008211
DNfl033	FBbt:20008212
DNfl034	FBbt:20008213
DNfl035	FBbt:20008214
DNfl036	FBbt:20008215
DNfl037	FBbt:20008216
DNfl038	FBbt:20008217
DNfl039	FBbt:20008218
DNfl040	FBbt:20008219
DNfl041	FBbt:20008220
DNfl042	FBbt:20008221
DNfl043	FBbt:20008222
DNfl044	FBbt:20008223
DNfl045	FBbt:20008224
DNg52	FBbt:20004631
DNg92	FBbt:20011333
DNht001	FBbt:20008225
DNit003	FBbt:20008226
DNit004	FBbt:20008227
DNit005	FBbt:20008228
DNit006	FBbt:20008229
DNit007	FBbt:20008230
DNit008	FBbt:20008231
DNit009	FBbt:20008232
DNit010	FBbt:20008233
DNit011	FBbt:20008234
DNit012	FBbt:20008235
DNit013	FBbt:20008236
DNlt009	FBbt:20008237
DNlt010	FBbt:20008238
DNlt011	FBbt:20008239
DNml001	FBbt:20008240
DNnt007	FBbt:20008241
DNnt008	FBbt:20008242
DNnt009	FBbt:20008243
DNnt010	FBbt:20008244
DNnt011	FBbt:20008245
DNnt012	FBbt:20008246
DNnt013	FBbt:20008247
DNnt014	FBbt:20008248
DNnt015	FBbt:20008249
DNnt016	FBbt:20008250
DNnt017	FBbt:20008251
DNnt018	FBbt:20008252
DNnt019	FBbt:20008253
DNnt020	FBbt:20008254
DNnt021	FBbt:20008255
DNnt022	FBbt:20008256
DNp103	FBbt:20011331
DNp39	FBbt:20011342
DNp41	FBbt:20011345
DNp45	FBbt:20011346
DNp46	FBbt:20011347
DNp47	FBbt:20011348
DNp48	FBbt:20011349
DNp51	FBbt:20011350
DNp53	FBbt:20011351
DNp55	FBbt:20011352
DNp56	FBbt:20011330
DNp57	FBbt:20011353
DNp59	FBbt:20011332
DNp60	FBbt:20011354
DNp62	FBbt:20011355
DNp63	FBbt:20011356
DNp64	FBbt:20011357
DNp67	FBbt:20011343
DNp68	FBbt:20011358
DNp69	FBbt:20011359
DNp70	FBbt:20011361
DNp71	FBbt:20011344
DNut034	FBbt:20008257
DNut036	FBbt:20008258
DNut037	FBbt:20008259
DNut039	FBbt:20008260
DNut040	FBbt:20008261
DNut041	FBbt:20008262
DNut042	FBbt:20008263
DNut043	FBbt:20008264
DNut044	FBbt:20008265
DNut045	FBbt:20008266
DNut046	FBbt:20008267
DNut047	FBbt:20008268
DNut048	FBbt:20008269
DNut049	FBbt:20008270
DNut050	FBbt:20008271
DNut051	FBbt:20008272
DNut052	FBbt:20008273
DNut053	FBbt:20008274
DNut054	FBbt:20008275
DNut057	FBbt:20008276
DNut058	FBbt:20008277
DNut059	FBbt:20008278
DNut060	FBbt:20008279
DNut061	FBbt:20008280
