defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_type	other_type_label	soma	soma_label	nb_label	other_synonyms	ito_lee	hartenstein	primary	secondary	reference	hartenstein_synonym_type	ito_lee_synonym_type	primary_synonym_type	secondary_synonym_type
FBbt:00048880	NB4-4 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001415	neuroblast NB4-4									FBbt:00007114	cell body rind of the central nervous system	NB4-4 lineage primary neuron	NB4-4 lineage embryonic neuron|NB4-4 lineage embryonic-born neuron|lineage 24 embryonic neuron|lineage 24 embryonic-born neuron			NB4-4 lineage primary neuron	lineage 24 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048881	NB5-1 lineage neuron	FBbt:00005106	neuron	FBbt:00001424	neuroblast NB5-1							FBbt:00047097	primary neuron	FBbt:00007114	cell body rind of the central nervous system	NB5-1 lineage neuron	NB5-1 lineage embryonic neuron|NB5-1 lineage embryonic-born neuron|NB5-1 lineage primary neuron|lineage 26 embryonic neuron|lineage 26 embryonic-born neuron|lineage 26 primary neuron			NB5-1 lineage neuron	lineage 26 neuron	doi:10.1101/2023.06.05.543407	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048882	NB5-2 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001376	neuroblast NB5-2									FBbt:00007114	cell body rind of the central nervous system	NB5-2 lineage primary neuron	NB5-2 lineage embryonic neuron|NB5-2 lineage embryonic-born neuron|lineage 6 embryonic neuron|lineage 6 embryonic-born neuron			NB5-2 lineage primary neuron	lineage 6 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048883	NB5-3 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001390	neuroblast NB5-3									FBbt:00007114	cell body rind of the central nervous system	NB5-3 lineage primary neuron	NB5-3 lineage embryonic neuron|NB5-3 lineage embryonic-born neuron|lineage 5 embryonic neuron|lineage 5 embryonic-born neuron			NB5-3 lineage primary neuron	lineage 5 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048884	NB5-4 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001416	neuroblast NB5-4									FBbt:00007114	cell body rind of the central nervous system	NB5-4 lineage primary neuron	NB5-4 lineage embryonic neuron|NB5-4 lineage embryonic-born neuron|lineage 22 embryonic neuron|lineage 22 embryonic-born neuron			NB5-4 lineage primary neuron	lineage 22 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048885	NB5-5 lineage neuron	FBbt:00005106	neuron	FBbt:00001425	neuroblast NB5-5							FBbt:00047097	primary neuron	FBbt:00007114	cell body rind of the central nervous system	NB5-5 lineage neuron	NB5-5 lineage embryonic neuron|NB5-5 lineage embryonic-born neuron|NB5-5 lineage primary neuron			NB5-5 lineage neuron			http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048886	NB5-6 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001377	neuroblast NB5-6									FBbt:00007114	cell body rind of the central nervous system	NB5-6 lineage primary neuron	NB5-6 lineage embryonic neuron|NB5-6 lineage embryonic-born neuron			NB5-6 lineage primary neuron			http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048888	NB6-1 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001398	neuroblast NB6-1									FBbt:00007114	cell body rind of the central nervous system	NB6-1 lineage primary neuron	NB6-1 lineage embryonic neuron|NB6-1 lineage embryonic-born neuron|lineage 12 embryonic neuron|lineage 12 embryonic-born neuron			NB6-1 lineage primary neuron	lineage 12 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048889	NB6-2 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001391	neuroblast NB6-2									FBbt:00007114	cell body rind of the central nervous system	NB6-2 lineage primary neuron	NB6-2 lineage embryonic neuron|NB6-2 lineage embryonic-born neuron|lineage 19 embryonic neuron|lineage 19 embryonic-born neuron			NB6-2 lineage primary neuron	lineage 19 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048890	NB6-4 lineage neuron	FBbt:00005106	neuron	FBbt:00001399	neuroblast NB6-4							FBbt:00047097	primary neuron	FBbt:00007114	cell body rind of the central nervous system	NB6-4 lineage neuron	NB6-4 lineage embryonic neuron|NB6-4 lineage embryonic-born neuron|NB6-4 lineage primary neuron			NB6-4 lineage neuron			http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048891	NB7-1 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001380	neuroblast NB7-1									FBbt:00007114	cell body rind of the central nervous system	NB7-1 lineage primary neuron	NB7-1 lineage embryonic neuron|NB7-1 lineage embryonic-born neuron|lineage 3 embryonic neuron|lineage 3 embryonic-born neuron			NB7-1 lineage primary neuron	lineage 3 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048892	NB7-2 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001392	neuroblast NB7-2									FBbt:00007114	cell body rind of the central nervous system	NB7-2 lineage primary neuron	NB7-2 lineage embryonic neuron|NB7-2 lineage embryonic-born neuron|lineage 11 embryonic neuron|lineage 11 embryonic-born neuron			NB7-2 lineage primary neuron	lineage 11 primary neuron	FlyBase:FBrf0231327	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048893	NB7-3 lineage neuron	FBbt:00005106	neuron	FBbt:00001426	neuroblast NB7-3							FBbt:00047097	primary neuron	FBbt:00007114	cell body rind of the central nervous system	NB7-3 lineage neuron	NB7-3 lineage embryonic neuron|NB7-3 lineage embryonic-born neuron|NB7-3 lineage primary neuron			NB7-3 lineage neuron			http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048894	NB7-4 lineage primary neuron	FBbt:00047097	primary neuron	FBbt:00001381	neuroblast NB7-4							FBbt:00049540	Notch OFF hemilineage neuron	FBbt:00007114	cell body rind of the central nervous system	NB7-4 lineage primary neuron	NB7-4 Notch OFF hemilineage embryonic neuron|NB7-4 Notch OFF hemilineage embryonic-born neuron|NB7-4 Notch OFF hemilineage primary neuron|NB7-4 hemilineage B embryonic neuron|NB7-4 hemilineage B embryonic-born neuron|NB7-4 hemilineage B primary neuron|NB7-4 lineage embryonic neuron|NB7-4 lineage embryonic-born neuron|hemilineage 23B embryonic neuron|hemilineage 23B embryonic-born neuron|hemilineage 23B primary neuron|lineage 23 embryonic neuron|lineage 23 embryonic-born neuron			NB7-4 lineage primary neuron	lineage 23 primary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048895	lineage 0 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001419	neuroblast MNB									FBbt:00007114	cell body rind of the central nervous system	lineage 0 secondary neuron	MNB lineage larval-born neuron|MNB lineage postembryonic neuron|lineage 0 larval-born neuron|lineage 0 postembryonic neuron			MNB lineage secondary neuron	lineage 0 secondary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048896	lineage 16 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001371	neuroblast NB1-1			GO:0061535	glutamate secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron	FBbt:00007114	cell body rind of the central nervous system	lineage 16 secondary neuron	NB1-1 Notch OFF hemilineage larval-born neuron|NB1-1 Notch OFF hemilineage postembryonic neuron|NB1-1 Notch OFF hemilineage secondary neuron|NB1-1 hemilineage B larval-born neuron|NB1-1 hemilineage B postembryonic neuron|NB1-1 hemilineage B secondary neuron|NB1-1 lineage larval-born neuron|NB1-1 lineage postembryonic neuron|hemilineage 16B larval-born neuron|hemilineage 16B postembryonic neuron|hemilineage 16B secondary neuron|lineage 16 larval-born neuron|lineage 16 postembryonic neuron			NB1-1 lineage secondary neuron	lineage 16 secondary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048897	lineage 1 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001384	neuroblast NB1-2									FBbt:00007114	cell body rind of the central nervous system	lineage 1 secondary neuron	NB1-2 lineage larval-born neuron|NB1-2 lineage postembryonic neuron|lineage 1 larval-born neuron|lineage 1 postembryonic neuron			NB1-2 lineage secondary neuron	lineage 1 secondary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
FBbt:00048898	lineage 2 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001410	neuroblast NB2-1			GO:0061535	glutamate secretion, neurotransmission			FBbt:00049539	Notch ON hemilineage neuron	FBbt:00007114	cell body rind of the central nervous system	lineage 2 secondary neuron	NB2-1 Notch ON hemilineage larval-born neuron|NB2-1 Notch ON hemilineage postembryonic neuron|NB2-1 Notch ON hemilineage secondary neuron|NB2-1 hemilineage A larval-born neuron|NB2-1 hemilineage A postembryonic neuron|NB2-1 hemilineage A secondary neuron|NB2-1 lineage larval-born neuron|NB2-1 lineage postembryonic neuron|hemilineage 2A larval-born neuron|hemilineage 2A postembryonic neuron|hemilineage 2A secondary neuron|lineage 2 larval-born neuron|lineage 2 postembryonic neuron			NB2-1 lineage secondary neuron	lineage 2 secondary neuron	FlyBase:FBrf0231327|FlyBase:FBrf0228122	http://purl.obolibrary.org/obo/fbbt#HARTENSTEIN_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#ITO_LEE_BRAIN_LINEAGE	http://purl.obolibrary.org/obo/fbbt#PRIMARY_VNC_LINEAGE	http://purl.obolibrary.org/obo/fbbt#SECONDARY_VNC_LINEAGE
