defined_class	defined_class_label	neuron_type	neuron_type_label	Landgraf_name	Hoang_name	Doe_name	neuromere	neuromere_label	neuromere_short	alt_segment_long	alt_segment_short	Ib_muscle	Ib_muscle_label	Is_muscle	Is_muscle_label	II_muscle	II_muscle_label	III_muscle	III_muscle_label	nerve	nerve_label
FBbt:00002309	larval DO1 motor neuron of abdominal 5 neuromere	FBbt:00110225	DO1 motor neuron	DO1	MN9-Ib	U1	FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000874	muscle cell of abdominal 6 dorsal oblique muscle 1								
FBbt:00002310	larval DO1 motor neuron of abdominal 6 neuromere	FBbt:00110225	DO1 motor neuron	DO1	MN9-Ib	U1	FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000919	muscle cell of abdominal 7 dorsal oblique muscle 1								
FBbt:00048725	larval DO2 motor neuron of metathoracic neuromere	FBbt:00110228	DO2 motor neuron	DO2	MN10-Ib	U2	FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000659	muscle cell of abdominal 1 dorsal oblique muscle 2								
FBbt:00048726	larval DO2 motor neuron of abdominal 1 neuromere	FBbt:00110228	DO2 motor neuron	DO2	MN10-Ib	U2	FBbt:00111033	larval abdominal 1 neuromere	A1	abdominal 2	A2	FBbt:00000695	muscle cell of abdominal 2 dorsal oblique muscle 2								
FBbt:00048727	larval DO2 motor neuron of abdominal 2 neuromere	FBbt:00110228	DO2 motor neuron	DO2	MN10-Ib	U2	FBbt:00111034	larval abdominal 2 neuromere	A2	abdominal 3	A3	FBbt:00000740	muscle cell of abdominal 3 dorsal oblique muscle 2								
FBbt:00048728	larval DO2 motor neuron of abdominal 3 neuromere	FBbt:00110228	DO2 motor neuron	DO2	MN10-Ib	U2	FBbt:00111035	larval abdominal 3 neuromere	A3	abdominal 4	A4	FBbt:00000785	muscle cell of abdominal 4 dorsal oblique muscle 2								
FBbt:00048729	larval DO2 motor neuron of abdominal 4 neuromere	FBbt:00110228	DO2 motor neuron	DO2	MN10-Ib	U2	FBbt:00111036	larval abdominal 4 neuromere	A4	abdominal 5	A5	FBbt:00000830	muscle cell of abdominal 5 dorsal oblique muscle 2								
FBbt:00048730	larval DO2 motor neuron of abdominal 5 neuromere	FBbt:00110228	DO2 motor neuron	DO2	MN10-Ib	U2	FBbt:00111037	larval abdominal 5 neuromere	A5	abdominal 6	A6	FBbt:00000875	muscle cell of abdominal 6 dorsal oblique muscle 2								
FBbt:00048731	larval DO2 motor neuron of abdominal 6 neuromere	FBbt:00110228	DO2 motor neuron	DO2	MN10-Ib	U2	FBbt:00111038	larval abdominal 6 neuromere	A6	abdominal 7	A7	FBbt:00000920	muscle cell of abdominal 7 dorsal oblique muscle 2								
FBbt:00048739	larval DO3 motor neuron of metathoracic neuromere	FBbt:00011548	DO3 motor neuron	DO3	MN11-Ib		FBbt:00111032	larval metathoracic neuromere	T3	abdominal 1	A1	FBbt:00000660	muscle cell of abdominal 1 dorsal oblique muscle 3								
