symbol	FBbt_id	reference
AN05B047	FBbt:20007743	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B048	FBbt:20007744	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B049	FBbt:20007745	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B050	FBbt:20007746	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B052	FBbt:20007747	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B053	FBbt:20007748	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B054	FBbt:20007749	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B056	FBbt:20007750	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B058	FBbt:20007751	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B059	FBbt:20007752	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B060	FBbt:20007753	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B062	FBbt:20007754	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B063	FBbt:20007755	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B067	FBbt:20007756	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B068	FBbt:20007757	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B069	FBbt:20007758	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B071	FBbt:20007759	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B076	FBbt:20007760	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B078	FBbt:20007761	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B081	FBbt:20007762	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B083	FBbt:20007763	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B094	FBbt:20007764	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B095	FBbt:20007765	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B096	FBbt:20007766	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B097	FBbt:20007767	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B098	FBbt:20007768	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B099	FBbt:20007769	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B100	FBbt:20007770	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B101	FBbt:20007771	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B102	FBbt:20007772	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B103	FBbt:20007773	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B104	FBbt:20007774	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B105	FBbt:20007775	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B106	FBbt:20007776	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A010	FBbt:20007777	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A015	FBbt:20007778	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A016	FBbt:20007779	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A017	FBbt:20007780	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A018	FBbt:20007781	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A026	FBbt:20007782	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A027	FBbt:20007783	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A030	FBbt:20007784	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A041	FBbt:20007785	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A060	FBbt:20007786	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A062	FBbt:20007787	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A080	FBbt:20007788	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A092	FBbt:20007789	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A095	FBbt:20007790	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06A112	FBbt:20007791	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B002	FBbt:20007792	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B004	FBbt:20007793	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B005	FBbt:20007794	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN06B007	FBbt:20007795	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
