np_type	FBbt_id	FBbt_name	pub	comment	specificity	notes	notes_2
ATL026	FBbt:20000090	adult antler neuron 026					
ATL027	FBbt:20000091	adult antler neuron 027					
ATL028	FBbt:20000092	adult antler neuron 028					
ATL029	FBbt:20000093	adult antler neuron 029					
ATL030	FBbt:20000094	adult antler neuron 030					
ATL031	FBbt:20000095	adult antler neuron 031					
ATL032	FBbt:20000096	adult antler neuron 032					
ATL033	FBbt:20000097	adult antler neuron 033					
ATL034	FBbt:20000098	adult antler neuron 034					
ATL035	FBbt:20000099	adult antler neuron 035					
ATL036	FBbt:20000100	adult antler neuron 036					
ATL037	FBbt:20000101	adult antler neuron 037					
ATL038	FBbt:20000102	adult antler neuron 038					
ATL039	FBbt:20000103	adult antler neuron 039					
ATL040	FBbt:20000104	adult antler neuron 040					
ATL041	FBbt:20000105	adult antler neuron 041					
ATL042	FBbt:20000106	adult antler neuron 042					
ATL043	FBbt:20000107	adult antler neuron 043					
ATL044	FBbt:20000108	adult antler neuron 044					
ATL045	FBbt:20000109	adult antler neuron 045					
AVLP001	FBbt:20000110	adult anterior ventrolateral protocerebrum neuron 001					
AVLP002	FBbt:20000111	adult anterior ventrolateral protocerebrum neuron 002					
AVLP003	FBbt:20000112	adult anterior ventrolateral protocerebrum neuron 003					
AVLP004	FBbt:20000113	adult anterior ventrolateral protocerebrum neuron 004					
AVLP005	FBbt:20000114	adult anterior ventrolateral protocerebrum neuron 005					
AVLP006	FBbt:20000115	adult anterior ventrolateral protocerebrum neuron 006					
AVLP007	FBbt:20000116	adult anterior ventrolateral protocerebrum neuron 007					
AVLP008	FBbt:20000117	adult anterior ventrolateral protocerebrum neuron 008					
AVLP009	FBbt:20000118	adult anterior ventrolateral protocerebrum neuron 009					
AVLP010	FBbt:20000119	adult anterior ventrolateral protocerebrum neuron 010					
AVLP011	FBbt:20000120	adult anterior ventrolateral protocerebrum neuron 011					
AVLP012	FBbt:20000121	adult anterior ventrolateral protocerebrum neuron 012					
AVLP013	FBbt:20000122	adult anterior ventrolateral protocerebrum neuron 013					
AVLP014	FBbt:20000123	adult anterior ventrolateral protocerebrum neuron 014					
AVLP015	FBbt:20000124	adult anterior ventrolateral protocerebrum neuron 015					
AVLP016	FBbt:20000125	adult anterior ventrolateral protocerebrum neuron 016					
AVLP017	FBbt:20000126	adult anterior ventrolateral protocerebrum neuron 017					
AVLP018	FBbt:20000127	adult anterior ventrolateral protocerebrum neuron 018					
AVLP019	FBbt:20000128	adult anterior ventrolateral protocerebrum neuron 019					
AVLP020	FBbt:20000129	adult anterior ventrolateral protocerebrum neuron 020					
AVLP021	FBbt:20000130	adult anterior ventrolateral protocerebrum neuron 021					
AVLP022	FBbt:20000131	adult anterior ventrolateral protocerebrum neuron 022					
AVLP023	FBbt:20000132	adult anterior ventrolateral protocerebrum neuron 023					
AVLP024	FBbt:20000133	adult anterior ventrolateral protocerebrum neuron 024					
AVLP025	FBbt:20000134	adult anterior ventrolateral protocerebrum neuron 025					
AVLP026	FBbt:20000135	adult anterior ventrolateral protocerebrum neuron 026					
AVLP027	FBbt:20000136	adult anterior ventrolateral protocerebrum neuron 027					
AVLP028	FBbt:20000137	adult anterior ventrolateral protocerebrum neuron 028					
AVLP029	FBbt:20000138	adult anterior ventrolateral protocerebrum neuron 029					
AVLP030	FBbt:20000139	adult anterior ventrolateral protocerebrum neuron 030					
AVLP031	FBbt:20000140	adult anterior ventrolateral protocerebrum neuron 031					
AVLP032	FBbt:20000141	adult anterior ventrolateral protocerebrum neuron 032					
AVLP033	FBbt:20000142	adult anterior ventrolateral protocerebrum neuron 033					
AVLP034	FBbt:20000143	adult anterior ventrolateral protocerebrum neuron 034					
AVLP035	FBbt:20000144	adult anterior ventrolateral protocerebrum neuron 035					
AVLP036	FBbt:20000145	adult anterior ventrolateral protocerebrum neuron 036					
AVLP037	FBbt:20000146	adult anterior ventrolateral protocerebrum neuron 037					
AVLP038	FBbt:20000147	adult anterior ventrolateral protocerebrum neuron 038					
AVLP039	FBbt:20000148	adult anterior ventrolateral protocerebrum neuron 039					
AVLP040	FBbt:20000149	adult anterior ventrolateral protocerebrum neuron 040					
AVLP041	FBbt:20000150	adult anterior ventrolateral protocerebrum neuron 041					
AVLP042	FBbt:20000151	adult anterior ventrolateral protocerebrum neuron 042					
AVLP043	FBbt:20000152	adult anterior ventrolateral protocerebrum neuron 043					
AVLP044_a	FBbt:20000153	adult anterior ventrolateral protocerebrum neuron 044					
AVLP044_b	FBbt:20000153	adult anterior ventrolateral protocerebrum neuron 044					
AVLP045	FBbt:20000154	adult anterior ventrolateral protocerebrum neuron 045					
AVLP046	FBbt:20000155	adult anterior ventrolateral protocerebrum neuron 046					
AVLP047	FBbt:20000156	adult anterior ventrolateral protocerebrum neuron 047					
AVLP048	FBbt:20000157	adult anterior ventrolateral protocerebrum neuron 048					
AVLP049	FBbt:20000158	adult anterior ventrolateral protocerebrum neuron 049					
AVLP050	FBbt:20000159	adult anterior ventrolateral protocerebrum neuron 050					
AVLP051	FBbt:20000160	adult anterior ventrolateral protocerebrum neuron 051					
AVLP052	FBbt:20000161	adult anterior ventrolateral protocerebrum neuron 052					
