group	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	Schlegel_L	Schlegel_R	matched as	Notes	specificity	FBbt_id	FBbt_name
VPN	LT86		LT86	LT86	1		1	1	1-to-1			FBbt:20011483	adult lobula tangential neuron LT86
VPN	LT87		LT87	LT87	1		1	1	1-to-1			FBbt:20011484	adult lobula tangential neuron LT87
VPN	MeTu1		MeTu1	MC61,MC64	124		120	124	1-to-1			FBbt:00053508	adult medulla-tubercle neuron 1
VPN	MeTu2a		MeTu2		36		50	50	2-to-1		parent_term	FBbt:00052133	adult medulla-tubercle neuron of dorsal rim area
VPN	MeTu2b		MeTu2		16		50	50	2-to-1		parent_term	FBbt:00052133	adult medulla-tubercle neuron of dorsal rim area
VPN	MeTu3a		MeTu3		18		145	129	3-to-1		parent_term	FBbt:00053509	adult medulla-tubercle neuron 3
VPN	MeTu3b		MeTu3		42		145	129	3-to-1		parent_term	FBbt:00053509	adult medulla-tubercle neuron 3
VPN	MeTu3c		MeTu3		91		145	129	3-to-1		parent_term	FBbt:00053509	adult medulla-tubercle neuron 3
VPN	MeTu4a		MeTu4		49		140	138	6-to-1	Garner, Kind et al 2024 Metu4a appears to combine MeTu4a and MeTu4e.	parent_term	FBbt:00051218	medulla columnar neuron MC64
VPN	MeTu4b		MeTu4		16		140	138	6-to-1		parent_term	FBbt:00051218	medulla columnar neuron MC64
VPN	MeTu4c		MeTu4		41		140	138	6-to-1		parent_term	FBbt:00051218	medulla columnar neuron MC64
VPN	MeTu4d		MeTu4		20		140	138	6-to-1		parent_term	FBbt:00051218	medulla columnar neuron MC64
VPN	MeTu4e		MeTu4		25		140	138	6-to-1	Garner, Kind et al 2024 Metu4a appears to combine MeTu4a and MeTu4e. MeTu4e differs from MeTu4a by layer pattern and connectivity.			
VPN	MeTu4f		MeTu4		28		140	138	6-to-1	This cell population includes some otherwise similar cells that do not have projections to the AOTU (either due to incomplete reconstruction or biological differences in their central arbors). MeTu4f may be related to MeTu4c.			
VPN	MeVP1		MTe51	MC62	59		48	50	1-to-1			FBbt:20011485	adult medulla visual projection neuron MeVP1
VPN	MeVP10		MTe03		33		23	24	1-to-1			FBbt:20007612	adult medulla visual projection neuron MeVP10
VPN	MeVP11		MTe50		30		25	29	1-to-1			FBbt:20007659	adult medulla visual projection neuron MeVP11
VPN	MeVP12		MTe04		18		12	18	2-to-1		parent_term	FBbt:20007613	adult medulla tangential neuron e04
VPN	MeVP14		MTe05		17		13	10	1-to-1			FBbt:20007614	adult medulla visual projection neuron MeVP14
VPN	MeVP15		MTe06	hb601712813,hb5813012053,hb5812981715,hb695132361,hb601716965	11		10	8	1-to-1			FBbt:20007615	adult medulla visual projection neuron MeVP15
VPN	MeVP16		MTe09		4		6	4	1-to-1			FBbt:20007618	adult medulla tangential neuron e09
VPN	MeVP17		MTe08		7		6	6	1-to-1			FBbt:20007617	adult medulla tangential neuron e08
VPN	MeVP18		MTe13		3		2	3	1-to-1			FBbt:20007622	adult medulla tangential neuron e13
VPN	MeVP2		MTe02		36		37	37	1-to-1			FBbt:20007611	adult medulla tangential neuron e02
VPN	MeVP20		MTe04		3		12	18	2-to-1		parent_term	FBbt:20007613	adult medulla tangential neuron e04
VPN	MeVP21		MTe12		3		3	3	1-to-1			FBbt:20007621	adult medulla visual projection neuron MeVP21
VPN	MeVP22		MTe14	hb1131340051	2		2	2	1-to-1			FBbt:20007623	adult medulla tangential neuron e14
VPN	MeVP23		MTe18		1		2	1	1-to-1			FBbt:20007627	adult medulla visual projection neuron MeVP23
VPN	MeVP24		MTe44	hb1347638401	1		1	1	1-to-1			FBbt:20007653	adult medulla tangential neuron e44
VPN	MeVP25		MTe38		1		1	1	1-to-1			FBbt:20007647	adult medulla tangential neuron e38
VPN	MeVP26		MTe42		1		1	1	1-to-1			FBbt:20007651	adult medulla visual projection neuron MeVP26
VPN	MeVP27		MTe49	hb1190668746	1		1	1	1-to-1			FBbt:20007658	adult medulla tangential neuron e49
VPN	MeVP28		MTe27		1		1	1	1-to-1			FBbt:20007636	adult medulla visual projection neuron MeVP28
VPN	MeVP29		MTe28		1		1	1	1-to-1			FBbt:20007637	adult medulla tangential neuron e28
VPN	MeVP3		MTe54	MC62	35		27	27	1-to-1			FBbt:20005420	adult medulla visual projection neuron MeVP3
VPN	MeVP30		MTe22	hb945483923	1		1	1	1-to-1			FBbt:20007631	adult medulla tangential neuron e22
VPN	MeVP31		MTe21	hb787882939,hb479969687	1		1	1	1-to-1			FBbt:20007630	adult medulla tangential neuron e21
VPN	MeVP32		MTe25	hb5813022839	1		1	1	1-to-1			FBbt:20007634	adult medulla tangential neuron e25
VPN	MeVP33		MTe26		1		1	1	1-to-1			FBbt:20007635	adult medulla tangential neuron e26
VPN	MeVP34		MTe15	hb787882939,hb479969687	2		2	2	1-to-1			FBbt:20007624	adult medulla visual projection neuron MeVP34
VPN	MeVP35		MTe24	hb511681569	1		1	1	1-to-1			FBbt:20007633	adult medulla tangential neuron e24
VPN	MeVP36		MTe32		1		1	1	1-to-1			FBbt:20007641	adult medulla visual projection neuron MeVP36
VPN	MeVP38		MTe45	hb759632919	1		1	1	1-to-1			FBbt:20007654	adult medulla visual projection neuron MeVP38
VPN	MeVP39		MTe20	hb602382052	1		1	1	1-to-1			FBbt:20007629	adult medulla tangential neuron e20
VPN	MeVP4		MTe52	MC62	22		18	24	1-to-1			FBbt:20011486	adult medulla visual projection neuron MeVP4
VPN	MeVP40		MTe17	hb577503616, hb671285134	1		2	2	2-to-1		parent_term	FBbt:20007626	adult medulla tangential neuron e17
VPN	MeVP41		MTe30		1		1	1	1-to-1			FBbt:20007639	adult medulla tangential neuron e30
VPN	MeVP42		MTe17	hb577503616, hb671285134	1		2	2	2-to-1		parent_term	FBbt:20007626	adult medulla tangential neuron e17
VPN	MeVP43		MTe40		1		1	1	1-to-1			FBbt:20007649	adult medulla tangential neuron e40
VPN	MeVP45		MTe37		1		1	1	1-to-1			FBbt:20007646	adult medulla tangential neuron e37
VPN	MeVP46		MTe16	hb1158333658,hb1096963197	2		2	2	1-to-1			FBbt:20007625	adult medulla tangential neuron e16
VPN	MeVP47		MTe33		1		1	1	1-to-1			FBbt:20007642	adult medulla tangential neuron e33
VPN	MeVP48		MTe31		1		1	1	1-to-1			FBbt:20007640	adult medulla tangential neuron e31
VPN	MeVP49		MTe23	hb976506780	1		1	1	1-to-1			FBbt:20007632	adult medulla visual projection neuron MeVP49
VPN	MeVP5		MTe53	MC62	9		7	7	1-to-1			FBbt:20011487	adult medulla visual projection neuron MeVP5
VPN	MeVP50		MTe34		1		1	1	1-to-1			FBbt:20007643	adult medulla visual projection neuron MeVP50
VPN	MeVP51		MTe43		1		1	1	1-to-1			FBbt:20007652	adult medulla tangential neuron e43
VPN	MeVP52		MTe35		1		1	1	1-to-1			FBbt:20007644	adult medulla tangential neuron e35
VPN	MeVP53		MTe41		1		1	1	1-to-1			FBbt:20007650	adult medulla tangential neuron e41
VPN	MeVP54		MTe10		2		4	4	2-to-1		parent_term	FBbt:20007619	adult medulla tangential neuron e10
VPN	MeVP55		MTe10		2		4	4	2-to-1		parent_term	FBbt:20007619	adult medulla tangential neuron e10
VPN	MeVP56		MTe29		1		1	1	1-to-1			FBbt:20007638	adult medulla tangential neuron e29
VPN	MeVP57		MTe19	hb1746373639	1		1	1	1-to-1			FBbt:20007628	adult medulla tangential neuron e19
VPN	MeVP58		MTe11	hb5812995553, hb1685555902,hb1747664643	3		3	3	1-to-1			FBbt:20007620	adult medulla visual projection neuron MeVP58
