accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
127437	PLP042_c		cb_intrinsic				PLP042_c	PLP042b			parent_term	FBbt:20001542	adult posterior lateral protocerebrum neuron 042	
36971	PVLP008_c		cb_intrinsic				PVLP008_c	CB4050			parent_term	FBbt:20002066	adult posterior ventrolateral protocerebrum neuron 008	
15507	lLN2R_a	ALLN	cb_intrinsic				lLN2R_a	lLN2X06,lLN2X07		DC	parent_term	FBbt:00049814	adult antennal lobe local neuron lLN2R	
30421	lLN2P_b	ALLN	cb_intrinsic				lLN2P_b	lLN2P_b		DC	parent_term	FBbt:00049813	adult antennal lobe local neuron lLN2P	
564824	lLN2R_a	ALLN	cb_intrinsic				lLN2R_a	lLN2X06,lLN2X07		DC	parent_term	FBbt:00049814	adult antennal lobe local neuron lLN2R	
15662	lLN2R_a	ALLN	cb_intrinsic				lLN2R_a	lLN2X06,lLN2X07		DC	parent_term	FBbt:00049814	adult antennal lobe local neuron lLN2R	
17219	LNd_c		cb_intrinsic		fru_high	Cachero 2010: aSP-l		LNd_c			parent_term	FBbt:00004045	LNd neuron	
69439	AVLP299_c		cb_intrinsic		fru_high	Cachero 2010: aIP-b	AVLP299_c	AVLP299_a			parent_term	FBbt:20000408	adult anterior ventrolateral protocerebrum neuron 299	
46065	CL121_a		cb_intrinsic		fru_low	Cachero 2010: aDT-g; Yu 2010: aDT5	CL121	CL121_a			parent_term	FBbt:20000826	adult clamp neuron 121	
69652	AVLP189_a		cb_intrinsic				AVLP189_a	AVLP189_a			parent_term	FBbt:20000298	adult anterior ventrolateral protocerebrum neuron 189	
27057	LHPV10a1b		cb_intrinsic					LHPV10a1b			parent_term	FBbt:00051775	adult lateral horn PV10a1 neuron	
31910	LHAV2g2_a		cb_intrinsic				LHAV2g2_a	LHAV2g2_a			parent_term	FBbt:00051655	adult lateral horn AV2g2 neuron	
125636	LHAV9a1_c		cb_intrinsic				LHAV9a1_c	LHAV9a1_c			parent_term	FBbt:00051752	adult lateral horn AV9a1 neuron	
26929	CL161_b		cb_intrinsic				CL161	CL161b			parent_term	FBbt:20000866	adult clamp neuron 161	
113406	WED143_d		cb_intrinsic				WED143	CB1492,CB2137			parent_term	FBbt:20003693	adult wedge neuron 143	
180875	SMP016_a		cb_intrinsic				SMP016_a	CB4012			parent_term	FBbt:20002878	adult superior medial protocerebrum neuron 016	
17325	lLN2P_a	ALLN	cb_intrinsic		fru_low		lLN2P_a	lLN2P_a		DC	parent_term	FBbt:00049813	adult antennal lobe local neuron lLN2P	
29537	FB2B_a	CX	cb_intrinsic				FB2B_a	CB.FB2K1			parent_term	FBbt:00007534	adult lateral fan-shaped body tangential-protocerebrum neuron ExFl1	
530702	LAL147_b		cb_intrinsic				LAL147	LAL147c			parent_term	FBbt:20001443	adult lateral accessory lobe neuron 147	
133192	LHAV9a1_b		cb_intrinsic				LHAV9a1_b	LHAV9a1_b			parent_term	FBbt:00051752	adult lateral horn AV9a1 neuron	
517724	LAL030d		cb_intrinsic		fru_low	Cachero 2010: aSP-d; Yu 2010: aSP13		LAL030d			parent_term	FBbt:20001326	adult lateral accessory lobe neuron 030	
19058	AVLP218_b		cb_intrinsic				AVLP218	AVLP218b			parent_term	FBbt:20000327	adult anterior ventrolateral protocerebrum neuron 218	
10962	LAL026_a		cb_intrinsic				LAL026	CB2418,LAL026			parent_term	FBbt:20001322	adult lateral accessory lobe neuron 026	
24298	CL121_a		cb_intrinsic		fru_low	Cachero 2010: aDT-g; Yu 2010: aDT5	CL121	CL121_a			parent_term	FBbt:20000826	adult clamp neuron 121	
38524	CL128_a		cb_intrinsic				CL128	CL128b			parent_term	FBbt:20000833	adult clamp neuron 128	
22578	CL123_e		cb_intrinsic		fru_low	Cachero 2010: aDT-d	CL123	CL123,CRE061			parent_term	FBbt:20000828	adult clamp neuron 123	
51609	CRE080_b		cb_intrinsic		fru_low	Cachero 2010: pMP-a; Yu 2010: pMP5	CRE080	CRE080a,CRE080b			parent_term	FBbt:20001149	adult crepine neuron 080	
12961	CL075_b		cb_intrinsic				CL075	CL075b			parent_term	FBbt:20000780	adult clamp neuron 075	
77709	PLP042_c		cb_intrinsic				PLP042_c	PLP042b			parent_term	FBbt:20001542	adult posterior lateral protocerebrum neuron 042	
22577	AVLP548_d		cb_intrinsic				AVLP548_d	AVLP548_d			parent_term	FBbt:20000657	adult anterior ventrolateral protocerebrum neuron 548	
10515	lLN2F_b	ALLN	cb_intrinsic				lLN2F_b	lLN2F_b		DC	parent_term	FBbt:00049812	adult antennal lobe local neuron lLN2F	
524005	LAL026_b		cb_intrinsic				LAL026	CB2418,LAL026			parent_term	FBbt:20001322	adult lateral accessory lobe neuron 026	
45616	CL089_c		cb_intrinsic				CL089_c	CL089_c			parent_term	FBbt:20000794	adult clamp neuron 089	
59226	CRE080_d		cb_intrinsic				CRE080	CRE080c			parent_term	FBbt:20001149	adult crepine neuron 080	
