flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
afferent	ascending	AN	AN_AVLP	AN_AVLP_53		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_54		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_6		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_7		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_8		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_9		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_11		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_12		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_13		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_14		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_15		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_16		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_17		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_18		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_19		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_20		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_21		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_22		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_23		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_3		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_4		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP_GNG	AN_AVLP_GNG_5		general_term	FBbt:00048301	adult ascending neuron
