systematicType	type	FBbt_id	FBbt_name	notes	mapping_ref	specificity
INXXX351	INXXX351	FBbt:20011026	adult INXXX351 neuron			
INXXX352	INXXX352	FBbt:20011027	adult INXXX352 neuron			
INXXX353	INXXX353	FBbt:20011028	adult INXXX353 neuron			
INXXX354	INXXX354	FBbt:20011029	adult INXXX354 neuron			
INXXX355	INXXX355	FBbt:20011030	adult INXXX355 neuron			
INXXX357	INXXX357	FBbt:20011031	adult INXXX357 neuron			
INXXX359	INXXX359	FBbt:20011032	adult INXXX359 neuron			
INXXX360	INXXX360	FBbt:20011033	adult INXXX360 neuron			
INXXX363	INXXX363	FBbt:20011034	adult INXXX363 neuron			
INXXX364	INXXX364	FBbt:20011035	adult INXXX364 neuron			
INXXX365	INXXX365	FBbt:20011036	adult INXXX365 neuron			
INXXX366	INXXX366	FBbt:20011037	adult INXXX366 neuron			
INXXX369	INXXX369	FBbt:20011038	adult INXXX369 neuron			
INXXX370	INXXX370	FBbt:20011039	adult INXXX370 neuron			
INXXX372	INXXX372	FBbt:20011040	adult INXXX372 neuron			
INXXX373	INXXX373	FBbt:20011041	adult INXXX373 neuron			
INXXX374	INXXX374	FBbt:20011042	adult INXXX374 neuron			
INXXX375	INXXX375	FBbt:20011043	adult INXXX375 neuron			
INXXX376	INXXX376	FBbt:20011044	adult INXXX376 neuron			
INXXX377	INXXX377	FBbt:20011045	adult INXXX377 neuron			
INXXX378	INXXX378	FBbt:20011046	adult INXXX378 neuron			
INXXX379	INXXX379	FBbt:20011047	adult INXXX379 neuron			
INXXX381	INXXX381	FBbt:20011048	adult INXXX381 neuron			
INXXX382	INXXX382	FBbt:20011049	adult INXXX382 neuron			
INXXX383	INXXX383	FBbt:20011050	adult INXXX383 neuron			
INXXX384	INXXX384	FBbt:20011051	adult INXXX384 neuron			
INXXX385	INXXX385	FBbt:20011052	adult INXXX385 neuron			
INXXX386	INXXX386	FBbt:20011053	adult INXXX386 neuron			
INXXX387	INXXX387	FBbt:20011054	adult INXXX387 neuron			
INXXX388	INXXX388	FBbt:20011055	adult INXXX388 neuron			
INXXX390	INXXX390	FBbt:20011056	adult INXXX390 neuron			
INXXX391	INXXX391	FBbt:20011057	adult INXXX391 neuron			
INXXX392	INXXX392	FBbt:20011058	adult INXXX392 neuron			
INXXX393	INXXX393	FBbt:20011059	adult INXXX393 neuron			
INXXX394	INXXX394	FBbt:20011060	adult INXXX394 neuron			
INXXX395	INXXX395	FBbt:20011061	adult INXXX395 neuron			
INXXX396	INXXX396	FBbt:20011062	adult INXXX396 neuron			
INXXX397	INXXX397	FBbt:20011063	adult INXXX397 neuron			
INXXX398	INXXX398	FBbt:20011064	adult INXXX398 neuron			
INXXX399	INXXX399	FBbt:20011065	adult INXXX399 neuron			
INXXX400	INXXX400	FBbt:20011066	adult INXXX400 neuron			
INXXX401	INXXX401	FBbt:20011067	adult INXXX401 neuron			
INXXX402	INXXX402	FBbt:20011068	adult INXXX402 neuron			
INXXX403	INXXX403	FBbt:20011069	adult INXXX403 neuron			
INXXX405	INXXX405	FBbt:20011070	adult INXXX405 neuron			
INXXX406	INXXX406	FBbt:20011071	adult INXXX406 neuron			
INXXX407	INXXX407	FBbt:20011072	adult INXXX407 neuron			
INXXX408	INXXX408	FBbt:20011073	adult INXXX408 neuron			
INXXX409	INXXX409	FBbt:20011074	adult INXXX409 neuron			
INXXX411	INXXX411	FBbt:20011075	adult INXXX411 neuron			
INXXX412	INXXX412	FBbt:20011076	adult INXXX412 neuron			
INXXX414	INXXX414	FBbt:20011077	adult INXXX414 neuron			
INXXX415	INXXX415	FBbt:20011078	adult INXXX415 neuron			
INXXX416	INXXX416	FBbt:20011079	adult INXXX416 neuron			
INXXX417	INXXX417	FBbt:20011080	adult INXXX417 neuron			
INXXX418	INXXX418	FBbt:20011081	adult INXXX418 neuron			
INXXX419	INXXX419	FBbt:20011082	adult INXXX419 neuron			
INXXX420	INXXX420	FBbt:20011083	adult INXXX420 neuron			
INXXX421	INXXX421	FBbt:20011084	adult INXXX421 neuron			
INXXX423	INXXX423	FBbt:20011085	adult INXXX423 neuron			
INXXX424	INXXX424	FBbt:20011086	adult INXXX424 neuron			
INXXX425	INXXX425	FBbt:20011087	adult INXXX425 neuron			
INXXX426	INXXX426	FBbt:20011088	adult INXXX426 neuron			
INXXX427	INXXX427	FBbt:20011089	adult INXXX427 neuron			
INXXX428	INXXX428	FBbt:20011090	adult INXXX428 neuron			
INXXX429	INXXX429	FBbt:20011091	adult INXXX429 neuron			
INXXX430	INXXX430	FBbt:20011092	adult INXXX430 neuron			
INXXX431	INXXX431	FBbt:20011093	adult INXXX431 neuron			
INXXX436	INXXX436	FBbt:20011094	adult INXXX436 neuron			
INXXX437	INXXX437	FBbt:20011095	adult INXXX437 neuron			
INXXX438	INXXX438	FBbt:20011096	adult INXXX438 neuron			
INXXX439	INXXX439	FBbt:20011097	adult INXXX439 neuron			
INXXX440	INXXX440	FBbt:20011098	adult INXXX440 neuron			
INXXX441	INXXX441	FBbt:20011099	adult INXXX441 neuron			
INXXX442	INXXX442	FBbt:20011100	adult INXXX442 neuron			
INXXX443	INXXX443	FBbt:20011101	adult INXXX443 neuron			
INXXX444	INXXX444	FBbt:20011102	adult INXXX444 neuron			
INXXX446	INXXX446	FBbt:20011103	adult INXXX446 neuron			
INXXX447	INXXX447	FBbt:20011104	adult INXXX447 neuron			
INXXX448	INXXX448	FBbt:20011105	adult INXXX448 neuron			
INXXX449	INXXX449	FBbt:20011106	adult INXXX449 neuron			
INXXX450	INXXX450	FBbt:20011107	adult INXXX450 neuron			
INXXX451	INXXX451	FBbt:20011108	adult INXXX451 neuron			
INXXX452	INXXX452	FBbt:20011109	adult INXXX452 neuron			
INXXX454	INXXX454	FBbt:20011110	adult INXXX454 neuron			
INXXX455	INXXX455	FBbt:20011111	adult INXXX455 neuron			
INXXX456	INXXX456	FBbt:20011112	adult INXXX456 neuron			
INXXX457	INXXX457	FBbt:20011113	adult INXXX457 neuron			
