primary_type	specificity	FBbt_id	FBbt_name	references
AN_GNG_154	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_155	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_156	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_157	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_158	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_159	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_16	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_160	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_161	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_162	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_163	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_164	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_165	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_166	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_167	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_168	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_169	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_17	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_170	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_171	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_172	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_173	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_174	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_175	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_176	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_177	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_178	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_179	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_18	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_180	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_181	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_182	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_183	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_184	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_185	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_186	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_187	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_188	general_term	FBbt:00048301	adult ascending neuron	
AN_GNG_189	general_term	FBbt:00048301	adult ascending neuron	
